Month,Scenario,District,Net_migration_monthly,weeklyrent,Consents,sales_count,CGPI_Dwelling,OCR,unemployment_rate,RealMortgageRate,log_sales_count,log_Consents,log_sales_count_lag1,log_sales_count_lag3,log_sales_count_lag6,log_sales_count_lag9,log_sales_count_lag12,OCR_lag1,OCR_lag3,OCR_lag6,OCR_lag9,OCR_lag12,CGPI_Dwelling_lag1,CGPI_Dwelling_lag3,CGPI_Dwelling_lag6,CGPI_Dwelling_lag9,CGPI_Dwelling_lag12,log_Consents_lag1,log_Consents_lag3,log_Consents_lag6,log_Consents_lag9,log_Consents_lag12,unemployment_rate_lag1,unemployment_rate_lag3,unemployment_rate_lag6,unemployment_rate_lag9,unemployment_rate_lag12,RealMortgageRate_lag1,RealMortgageRate_lag3,RealMortgageRate_lag6,RealMortgageRate_lag9,RealMortgageRate_lag12
2025-07,Low,AucklandCity,156.79965079365078,522.6110629067246,339.6396609055627,559.6410229643286,1093.9539004262592,3.058699097797041,5.859716735590646,-1313.5639603467143,6.327295547760507,5.827885234736962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,Low,Franklin,156.79965079365078,522.6110629067246,108.07555514141684,87.1471171837915,1093.9539004262592,3.058699097797041,5.859716735590646,-1313.5639603467143,4.4675976926328165,4.6828305671717025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,Low,Manukau,156.79965079365078,522.6110629067246,332.9022437191208,487.88315452641336,1093.9539004262592,3.058699097797041,5.859716735590646,-1313.5639603467143,6.190075939737551,5.807848884477523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,Low,NorthShore,156.79965079365078,522.6110629067246,223.71916794431627,333.55097424633857,1093.9539004262592,3.058699097797041,5.859716735590646,-1313.5639603467143,5.809795699991728,5.4103915507631894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,Low,Papakura,156.79965079365078,522.6110629067246,75.77287000094202,82.13461902084887,1093.9539004262592,3.058699097797041,5.859716735590646,-1313.5639603467143,4.40835959653167,4.327740313026411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,Low,Rodney,156.79965079365078,522.6110629067246,76.14204354540468,201.1154964675392,1093.9539004262592,3.058699097797041,5.859716735590646,-1313.5639603467143,5.30387935232561,4.332600589908665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07,Low,Waitakere,156.79965079365078,522.6110629067246,159.2060910494825,332.3198343466683,1093.9539004262592,3.058699097797041,5.859716735590646,-1313.5639603467143,5.806097861652318,5.070199533039444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08,Low,AucklandCity,156.79965079365078,522.6110629067246,327.642836121617,567.7972333632717,1094.5416460202205,2.8635040180941376,5.919213644621352,-1318.1138731739693,6.341764371472001,5.7919241008229045,6.327295547760507,,,,,3.058699097797041,,,,,1093.9539004262592,,,,,5.827885234736962,,,,,5.859716735590646,,,,,-1313.5639603467143,,,,
2025-08,Low,Franklin,156.79965079365078,522.6110629067246,104.25808725500366,88.41719960135161,1094.5416460202205,2.8635040180941376,5.919213644621352,-1318.1138731739693,4.482066516344311,4.6468694332576455,4.4675976926328165,,,,,3.058699097797041,,,,,1093.9539004262592,,,,,4.6828305671717025,,,,,5.859716735590646,,,,,-1313.5639603467143,,,,
2025-08,Low,Manukau,156.79965079365078,522.6110629067246,321.1433994268131,494.9935654775976,1094.5416460202205,2.8635040180941376,5.919213644621352,-1318.1138731739693,6.204544763449046,5.771887750563467,6.190075939737551,,,,,3.058699097797041,,,,,1093.9539004262592,,,,,5.807848884477523,,,,,5.859716735590646,,,,,-1313.5639603467143,,,,
2025-08,Low,NorthShore,156.79965079365078,522.6110629067246,215.816911619239,338.412147414659,1094.5416460202205,2.8635040180941376,5.919213644621352,-1318.1138731739693,5.8242645237032225,5.374430416849133,5.809795699991728,,,,,3.058699097797041,,,,,1093.9539004262592,,,,,5.4103915507631894,,,,,5.859716735590646,,,,,-1313.5639603467143,,,,
2025-08,Low,Papakura,156.79965079365078,522.6110629067246,73.09640447169761,83.3316492711023,1094.5416460202205,2.8635040180941376,5.919213644621352,-1318.1138731739693,4.422828420243165,4.291779179112355,4.40835959653167,,,,,3.058699097797041,,,,,1093.9539004262592,,,,,4.327740313026411,,,,,5.859716735590646,,,,,-1313.5639603467143,,,,
2025-08,Low,Rodney,156.79965079365078,522.6110629067246,73.4525379892212,204.04655447859872,1094.5416460202205,2.8635040180941376,5.919213644621352,-1318.1138731739693,5.318348176037104,4.296639455994609,5.30387935232561,,,,,3.058699097797041,,,,,1093.9539004262592,,,,,4.332600589908665,,,,,5.859716735590646,,,,,-1313.5639603467143,,,,
2025-08,Low,Waitakere,156.79965079365078,522.6110629067246,153.58257943200795,337.1630648774046,1094.5416460202205,2.8635040180941376,5.919213644621352,-1318.1138731739693,5.820566685363812,5.034238399125388,5.806097861652318,,,,,3.058699097797041,,,,,1093.9539004262592,,,,,5.070199533039444,,,,,5.859716735590646,,,,,-1313.5639603467143,,,,
2025-09,Low,AucklandCity,156.79965079365078,522.6110629067246,356.84126170492686,555.3447844861906,1095.093185200983,2.6645069274914936,5.9784588322331285,-1322.7302570621894,6.319589154169355,5.877291037811462,6.341764371472001,,,,,2.8635040180941376,,,,,1094.5416460202205,,,,,5.7919241008229045,,,,,5.919213644621352,,,,,-1318.1138731739693,,,,
