Month,District,log_Median_Price,weeklyrent,CGPI_Dwelling_lag1,OCR_lag1,CGPI_Dwelling_lag9,unemployment_rate_lag6,log_sales_count,unemployment_rate_lag9,unemployment_rate_lag1,log_sales_count_lag1,log_sales_count_lag12,unemployment_rate_lag3,log_Consents_lag1,log_Consents_lag9,log_sales_count_lag3,log_sales_count_lag9,log_Consents,OCR_lag12,Net_migration_monthly,log_Consents_lag6,log_Consents_lag3,log_sales_count_lag6,log_Consents_lag12
2018-08,AucklandCity,13.748301808270824,536.5,,,,,6.3835066348840055,,,,,,,,,,5.680172609017068,,866.67,,,,
2018-08,Franklin,13.413539339110365,485.0,,,,,4.30406509320417,,,,,,,,,,3.9889840465642745,,116.67,,,,
2018-08,Manukau,13.664687668229693,474.5,,,,,5.968707559985366,,,,,,,,,,5.564520407322694,,225.0,,,,
2018-08,NorthShore,13.732128949025222,555.5,,,,,5.700443573390687,,,,,,,,,,6.093569770045136,,558.33,,,,
2018-08,Papakura,13.423948355025102,479.0,,,,,4.3694478524670215,,,,,,,,,,4.574710978503383,,125.0,,,,
2018-08,Rodney,13.704578997256991,510.0,,,,,4.976733742420574,,,,,,,,,,4.465908118654584,,166.67,,,,
2018-08,Waitakere,13.567049198665774,493.0,,,,,5.54907608489522,,,,,,,,,,4.07753744390572,,66.67,,,,
2018-09,AucklandCity,13.764217263576723,536.5,741.63,1.75,,,6.220590170099739,,4.17,6.3835066348840055,,,5.680172609017068,,,,5.468060141135132,,866.67,,,,
2018-09,Franklin,13.43131758513165,485.0,741.63,1.75,,,4.382026634673881,,4.17,4.30406509320417,,,3.9889840465642745,,,,3.7612001156935615,,116.67,,,,
2018-09,Manukau,13.670484785914017,474.5,741.63,1.75,,,5.84354441703136,,4.17,5.968707559985366,,,5.564520407322694,,,,4.718498871295094,,225.0,,,,
2018-09,NorthShore,13.81049801614073,555.5,741.63,1.75,,,5.707110264748875,,4.17,5.700443573390687,,,6.093569770045136,,,,5.501258210544727,,558.33,,,,
2018-09,Papakura,13.415032991367148,479.0,741.63,1.75,,,4.394449154672439,,4.17,4.3694478524670215,,,4.574710978503383,,,,4.6443908991413725,,125.0,,,,
2018-09,Rodney,13.661776458022231,510.0,741.63,1.75,,,4.875197323201151,,4.17,4.976733742420574,,,4.465908118654584,,,,4.204692619390966,,166.67,,,,
2018-09,Waitakere,13.480037821676143,493.0,741.63,1.75,,,5.613128106388071,,4.17,5.54907608489522,,,4.07753744390572,,,,3.713572066704308,,66.67,,,,
2018-10,AucklandCity,13.771558670435091,536.5,744.04,1.75,,,6.496774990185863,,4.1,6.220590170099739,,,5.468060141135132,,,,5.402677381872279,,866.67,,,,
2018-10,Franklin,13.366876954454732,485.0,744.04,1.75,,,4.356708826689592,,4.1,4.382026634673881,,,3.7612001156935615,,,,4.23410650459726,,116.67,,,,
2018-10,Manukau,13.62918097977278,474.5,744.04,1.75,,,5.991464547107982,,4.1,5.84354441703136,,,4.718498871295094,,,,5.231108616854587,,225.0,,,,
2018-10,NorthShore,13.812506048943977,555.5,744.04,1.75,,,5.793013608384144,,4.1,5.707110264748875,,,5.501258210544727,,,,5.488937726156687,,558.33,,,,
2018-10,Papakura,13.422467969854669,479.0,744.04,1.75,,,4.454347296253507,,4.1,4.394449154672439,,,4.6443908991413725,,,,4.700480365792417,,125.0,,,,
2018-10,Rodney,13.676248490630767,510.0,744.04,1.75,,,5.068904202220232,,4.1,4.875197323201151,,,4.204692619390966,,,,4.454347296253507,,166.67,,,,
2018-10,Waitakere,13.623138665316818,493.0,744.04,1.75,,,5.749392985908253,,4.1,5.613128106388071,,,3.713572066704308,,,,5.049856007249537,,66.67,,,,
2018-12,AucklandCity,13.769466619462868,536.5,746.44,1.75,,,6.095824562432225,,4.13,6.496774990185863,,4.17,5.402677381872279,,6.3835066348840055,,5.961005339623274,,866.67,,5.680172609017068,,
2018-12,Franklin,13.45166712454693,485.0,746.44,1.75,,,4.158883083359672,,4.13,4.356708826689592,,4.17,4.23410650459726,,4.30406509320417,,4.060443010546419,,116.67,,3.9889840465642745,,
2018-12,Manukau,13.631587719803344,474.5,746.44,1.75,,,5.68697535633982,,4.13,5.991464547107982,,4.17,5.231108616854587,,5.968707559985366,,5.081404364984463,,225.0,,5.564520407322694,,
2018-12,NorthShore,13.795307850646754,555.5,746.44,1.75,,,5.37989735354046,,4.13,5.793013608384144,,4.17,5.488937726156687,,5.700443573390687,,5.187385805840755,,558.33,,6.093569770045136,,
2018-12,Papakura,13.437174117244362,479.0,746.44,1.75,,,4.0943445622221,,4.13,4.454347296253507,,4.17,4.700480365792417,,4.3694478524670215,,3.58351893845611,,125.0,,4.574710978503383,,
2018-12,Rodney,13.676248490630767,510.0,746.44,1.75,,,4.836281906951478,,4.13,5.068904202220232,,4.17,4.454347296253507,,4.976733742420574,,4.07753744390572,,166.67,,4.465908118654584,,
2018-12,Waitakere,13.62374454234232,493.0,746.44,1.75,,,5.327876168789581,,4.13,5.749392985908253,,4.17,5.049856007249537,,5.54907608489522,,4.007333185232471,,66.67,,4.07753744390572,,
2019-01,AucklandCity,13.67911793305872,550.0,750.21,1.75,,,5.860786223465865,,4.2,6.095824562432225,,4.1,5.961005339623274,,6.220590170099739,,6.163314804034641,,218.33,,5.468060141135132,,
2019-01,Franklin,13.38472764187182,500.0,750.21,1.75,,,4.276666119016055,,4.2,4.158883083359672,,4.1,4.060443010546419,,4.382026634673881,,4.127134385045092,,100.0,,3.7612001156935615,,
