Month,District,population
2008-06,Manukau,359741.67
2008-06,NorthShore,277950.00
2008-06,Papakura,44508.33
2008-06,Rodney,53275.00
2008-06,Waitakere,155033.33
2008-07,AucklandCity,449500.00
2008-07,Franklin,63650.00
2008-07,Manukau,360050.00
2008-07,NorthShore,278200.00
2008-07,Papakura,44550.00
2008-07,Rodney,53350.00
2008-07,Waitakere,155200.00
2008-08,AucklandCity,449933.33
2008-08,Franklin,63741.67
2008-08,Manukau,360358.33
2008-08,NorthShore,278450.00
2008-08,Papakura,44591.67
2008-08,Rodney,53425.00
2008-08,Waitakere,155366.67
2008-09,AucklandCity,450366.67
2008-09,Franklin,63833.33
2008-09,Manukau,360666.67
2008-09,NorthShore,278700.00
2008-09,Papakura,44633.33
2008-09,Rodney,53500.00
2008-09,Waitakere,155533.33
2008-10,AucklandCity,450800.00
2008-10,Franklin,63925.00
2008-10,Manukau,360975.00
2008-10,NorthShore,278950.00
2008-10,Papakura,44675.00
2008-10,Rodney,53575.00
2008-10,Waitakere,155700.00
2008-11,AucklandCity,451233.33
2008-11,Franklin,64016.67
2008-11,Manukau,361283.33
2008-11,NorthShore,279200.00
2008-11,Papakura,44716.67
2008-11,Rodney,53650.00
2008-11,Waitakere,155866.67
2008-12,AucklandCity,451666.67
2008-12,Franklin,64108.33
2008-12,Manukau,361591.67
2008-12,NorthShore,279450.00
2008-12,Papakura,44758.33
2008-12,Rodney,53725.00
2008-12,Waitakere,156033.33
2009-01,AucklandCity,452100.00
2009-01,Franklin,64200.00
2009-01,Manukau,361900.00
2009-01,NorthShore,279700.00
2009-01,Papakura,44800.00
2009-01,Rodney,53800.00
2009-01,Waitakere,156200.00
2009-02,AucklandCity,452533.33
2009-02,Franklin,64283.33
2009-02,Manukau,362241.67
2009-02,NorthShore,280000.00
2009-02,Papakura,44866.67
2009-02,Rodney,53883.33
2009-02,Waitakere,156366.67
2009-03,AucklandCity,452966.67
2009-03,Franklin,64366.67
2009-03,Manukau,362583.33
2009-03,NorthShore,280300.00
2009-03,Papakura,44933.33
2009-03,Rodney,53966.67
2009-03,Waitakere,156533.33
2009-04,AucklandCity,453400.00
2009-04,Franklin,64450.00
2009-04,Manukau,362925.00
2009-04,NorthShore,280600.00
2009-04,Papakura,45000.00
2009-04,Rodney,54050.00
2009-04,Waitakere,156700.00
2009-05,AucklandCity,453833.33
2009-05,Franklin,64533.33
2009-05,Manukau,363266.67
2009-05,NorthShore,280900.00
2009-05,Papakura,45066.67
2009-05,Rodney,54133.33
2009-05,Waitakere,156866.67
2009-06,AucklandCity,454266.67
2009-06,Franklin,64616.67
2009-06,Manukau,363608.33
2009-06,NorthShore,281200.00
2009-06,Papakura,45133.33
2009-06,Rodney,54216.67
2009-06,Waitakere,157033.33
2009-07,AucklandCity,454700.00
2009-07,Franklin,64700.00
2009-07,Manukau,363950.00
2009-07,NorthShore,281500.00
2009-07,Papakura,45200.00
2009-07,Rodney,54300.00
2009-07,Waitakere,157200.00
2009-08,AucklandCity,455133.33
2009-08,Franklin,64783.33
2009-08,Manukau,364291.67
2009-08,NorthShore,281800.00
2009-08,Papakura,45266.67
2009-08,Rodney,54383.33
2009-08,Waitakere,157366.67
2009-09,AucklandCity,455566.67
2009-09,Franklin,64866.67
2009-09,Manukau,364633.33
2009-09,NorthShore,282100.00
2009-09,Papakura,45333.33
2009-09,Rodney,54466.67
2009-09,Waitakere,157533.33
2009-10,AucklandCity,456000.00
2009-10,Franklin,64950.00
2009-10,Manukau,364975.00
2009-10,NorthShore,282400.00
2009-10,Papakura,45400.00
2009-10,Rodney,54550.00
2009-10,Waitakere,157700.00
2009-11,AucklandCity,456433.33
2009-11,Franklin,65033.33
2009-11,Manukau,365316.67
2009-11,NorthShore,282700.00
2009-11,Papakura,45466.67
2009-11,Rodney,54633.33
2009-11,Waitakere,157866.67
2009-12,AucklandCity,456866.67
2009-12,Franklin,65116.67
2009-12,Manukau,365658.33
2009-12,NorthShore,283000.00
2009-12,Papakura,45533.33
2009-12,Rodney,54716.67
2009-12,Waitakere,158033.33
2010-01,AucklandCity,457300.00
2010-01,Franklin,65200.00
