Month,District,population
2016-09,AucklandCity,497900.00
2016-09,Franklin,74566.67
2016-09,Manukau,412500.00
2016-09,NorthShore,320033.33
2016-09,Papakura,57733.33
2016-09,Rodney,65133.33
2016-09,Waitakere,175300.00
2016-10,AucklandCity,498475.00
2016-10,Franklin,74750.00
2016-10,Manukau,413300.00
2016-10,NorthShore,320650.00
2016-10,Papakura,57975.00
2016-10,Rodney,65375.00
2016-10,Waitakere,175550.00
2016-11,AucklandCity,499050.00
2016-11,Franklin,74933.33
2016-11,Manukau,414100.00
2016-11,NorthShore,321266.67
2016-11,Papakura,58216.67
2016-11,Rodney,65616.67
2016-11,Waitakere,175800.00
2016-12,AucklandCity,499625.00
2016-12,Franklin,75116.67
2016-12,Manukau,414900.00
2016-12,NorthShore,321883.33
2016-12,Papakura,58458.33
2016-12,Rodney,65858.33
2016-12,Waitakere,176050.00
2017-01,AucklandCity,500200.00
2017-01,Franklin,75300.00
2017-01,Manukau,415700.00
2017-01,NorthShore,322500.00
2017-01,Papakura,58700.00
2017-01,Rodney,66100.00
2017-01,Waitakere,176300.00
2017-02,AucklandCity,500633.33
2017-02,Franklin,75500.00
2017-02,Manukau,416350.00
2017-02,NorthShore,323016.67
2017-02,Papakura,58900.00
2017-02,Rodney,66350.00
2017-02,Waitakere,176508.33
2017-03,AucklandCity,501066.67
2017-03,Franklin,75700.00
2017-03,Manukau,417000.00
2017-03,NorthShore,323533.33
2017-03,Papakura,59100.00
2017-03,Rodney,66600.00
2017-03,Waitakere,176716.67
2017-04,AucklandCity,501500.00
2017-04,Franklin,75900.00
2017-04,Manukau,417650.00
2017-04,NorthShore,324050.00
2017-04,Papakura,59300.00
2017-04,Rodney,66850.00
2017-04,Waitakere,176925.00
2017-05,AucklandCity,501933.33
2017-05,Franklin,76100.00
2017-05,Manukau,418300.00
2017-05,NorthShore,324566.67
2017-05,Papakura,59500.00
2017-05,Rodney,67100.00
2017-05,Waitakere,177133.33
2017-06,AucklandCity,502366.67
2017-06,Franklin,76300.00
2017-06,Manukau,418950.00
2017-06,NorthShore,325083.33
2017-06,Papakura,59700.00
2017-06,Rodney,67350.00
2017-06,Waitakere,177341.67
2017-07,AucklandCity,502800.00
2017-07,Franklin,76500.00
2017-07,Manukau,419600.00
2017-07,NorthShore,325600.00
2017-07,Papakura,59900.00
2017-07,Rodney,67600.00
2017-07,Waitakere,177550.00
2017-08,AucklandCity,503233.33
2017-08,Franklin,76700.00
2017-08,Manukau,420250.00
2017-08,NorthShore,326116.67
2017-08,Papakura,60100.00
2017-08,Rodney,67850.00
2017-08,Waitakere,177758.33
2017-09,AucklandCity,503666.67
2017-09,Franklin,76900.00
2017-09,Manukau,420900.00
2017-09,NorthShore,326633.33
2017-09,Papakura,60300.00
2017-09,Rodney,68100.00
2017-09,Waitakere,177966.67
2017-10,AucklandCity,504100.00
2017-10,Franklin,77100.00
2017-10,Manukau,421550.00
2017-10,NorthShore,327150.00
2017-10,Papakura,60500.00
2017-10,Rodney,68350.00
2017-10,Waitakere,178175.00
2017-11,AucklandCity,504533.33
2017-11,Franklin,77300.00
2017-11,Manukau,422200.00
2017-11,NorthShore,327666.67
2017-11,Papakura,60700.00
2017-11,Rodney,68600.00
2017-11,Waitakere,178383.33
2017-12,AucklandCity,504966.67
2017-12,Franklin,77500.00
2017-12,Manukau,422850.00
2017-12,NorthShore,328183.33
2017-12,Papakura,60900.00
2017-12,Rodney,68850.00
2017-12,Waitakere,178591.67
2018-01,AucklandCity,505400.00
2018-01,Franklin,77700.00
2018-01,Manukau,423500.00
2018-01,NorthShore,328700.00
2018-01,Papakura,61100.00
2018-01,Rodney,69100.00
2018-01,Waitakere,178800.00
2018-02,AucklandCity,505783.33
2018-02,Franklin,77900.00
2018-02,Manukau,423900.00
2018-02,NorthShore,329275.00
2018-02,Papakura,61308.33
2018-02,Rodney,69258.33
2018-02,Waitakere,179000.00
2018-03,AucklandCity,506166.67
2018-03,Franklin,78100.00
2018-03,Manukau,424300.00
2018-03,NorthShore,329850.00
2018-03,Papakura,61516.67
2018-03,Rodney,69416.67
2018-03,Waitakere,179200.00
2018-04,AucklandCity,506550.00
2018-04,Franklin,78300.00
2018-04,Manukau,424700.00
2018-04,NorthShore,330425.00
2018-04,Papakura,61725.00
2018-04,Rodney,69575.00
2018-04,Waitakere,179400.00
2018-05,AucklandCity,506933.33
2018-05,Franklin,78500.00
2018-05,Manukau,425100.00
2018-05,NorthShore,331000.00
2018-05,Papakura,61933.33
2018-05,Rodney,69733.33
2018-05,Waitakere,179600.00
2018-06,AucklandCity,507316.67
2018-06,Franklin,78700.00
2018-06,Manukau,425500.00
2018-06,NorthShore,331575.00
2018-06,Papakura,62141.67
2018-06,Rodney,69891.67
2018-06,Waitakere,179800.00
2018-07,AucklandCity,507700.00
2018-07,Franklin,78900.00
2018-07,Manukau,425900.00
2018-07,NorthShore,332150.00
2018-07,Papakura,62350.00
2018-07,Rodney,70050.00
2018-07,Waitakere,180000.00
2018-08,AucklandCity,508083.33
2018-08,Franklin,79100.00
2018-08,Manukau,426300.00
2018-08,NorthShore,332725.00
2018-08,Papakura,62558.33
2018-08,Rodney,70208.33
2018-08,Waitakere,180200.00
2018-09,AucklandCity,508466.67
2018-09,Franklin,79300.00
2018-09,Manukau,426700.00
2018-09,NorthShore,333300.00
2018-09,Papakura,62766.67
2018-09,Rodney,70366.67
2018-09,Waitakere,180400.00
2018-10,AucklandCity,508850.00
2018-10,Franklin,79500.00
2018-10,Manukau,427100.00
2018-10,NorthShore,333875.00
2018-10,Papakura,62975.00
2018-10,Rodney,70525.00
2018-10,Waitakere,180600.00
2018-11,AucklandCity,509233.33
2018-11,Franklin,79700.00
2018-11,Manukau,427500.00
2018-11,NorthShore,334450.00
2018-11,Papakura,63183.33
2018-11,Rodney,70683.33
2018-11,Waitakere,180800.00
2018-12,AucklandCity,509616.67
2018-12,Franklin,79900.00
2018-12,Manukau,427900.00
2018-12,NorthShore,335025.00
2018-12,Papakura,63391.67
2018-12,Rodney,70841.67
2018-12,Waitakere,181000.00
2019-01,AucklandCity,510000.00
2019-01,Franklin,80100.00
2019-01,Manukau,428300.00
2019-01,NorthShore,335600.00
2019-01,Papakura,63600.00
2019-01,Rodney,71000.00
2019-01,Waitakere,181200.00
2019-02,AucklandCity,510366.67
2019-02,Franklin,80325.00
2019-02,Manukau,428833.33
2019-02,NorthShore,336275.00
2019-02,Papakura,63925.00
2019-02,Rodney,71266.67
2019-02,Waitakere,181425.00
2019-03,AucklandCity,510733.33
2019-03,Franklin,80550.00
2019-03,Manukau,429366.67
2019-03,NorthShore,336950.00
2019-03,Papakura,64250.00
2019-03,Rodney,71533.33
2019-03,Waitakere,181650.00
2019-04,AucklandCity,511100.00
2019-04,Franklin,80775.00
2019-04,Manukau,429900.00
2019-04,NorthShore,337625.00
2019-04,Papakura,64575.00
2019-04,Rodney,71800.00
2019-04,Waitakere,181875.00
2019-05,AucklandCity,511466.67
2019-05,Franklin,81000.00
2019-05,Manukau,430433.33
2019-05,NorthShore,338300.00
2019-05,Papakura,64900.00
2019-05,Rodney,72066.67
2019-05,Waitakere,182100.00
2019-06,AucklandCity,511833.33
2019-06,Franklin,81225.00
2019-06,Manukau,430966.67
2019-06,NorthShore,338975.00
2019-06,Papakura,65225.00
2019-06,Rodney,72333.33
2019-06,Waitakere,182325.00
2019-07,AucklandCity,512200.00
2019-07,Franklin,81450.00
2019-07,Manukau,431500.00
2019-07,NorthShore,339650.00
2019-07,Papakura,65550.00
2019-07,Rodney,72600.00
2019-07,Waitakere,182550.00
2019-08,AucklandCity,512566.67
2019-08,Franklin,81675.00
2019-08,Manukau,432033.33
2019-08,NorthShore,340325.00
2019-08,Papakura,65875.00
2019-08,Rodney,72866.67
2019-08,Waitakere,182775.00
2019-09,AucklandCity,512933.33
2019-09,Franklin,81900.00
2019-09,Manukau,432566.67
2019-09,NorthShore,341000.00
2019-09,Papakura,66200.00
2019-09,Rodney,73133.33
2019-09,Waitakere,183000.00
2019-10,AucklandCity,513300.00
2019-10,Franklin,82125.00
2019-10,Manukau,433100.00
2019-10,NorthShore,341675.00
2019-10,Papakura,66525.00
2019-10,Rodney,73400.00
2019-10,Waitakere,183225.00
2019-11,AucklandCity,513666.67
2019-11,Franklin,82350.00
2019-11,Manukau,433633.33
2019-11,NorthShore,342350.00
2019-11,Papakura,66850.00
2019-11,Rodney,73666.67
2019-11,Waitakere,183450.00
2019-12,AucklandCity,514033.33
2019-12,Franklin,82575.00
2019-12,Manukau,434166.67
2019-12,NorthShore,343025.00
2019-12,Papakura,67175.00
2019-12,Rodney,73933.33
2019-12,Waitakere,183675.00
2020-01,AucklandCity,514400.00
2020-01,Franklin,82800.00
2020-01,Manukau,434700.00
2020-01,NorthShore,343700.00
2020-01,Papakura,67500.00
2020-01,Rodney,74200.00
2020-01,Waitakere,183900.00
2020-02,AucklandCity,513508.33
2020-02,Franklin,82950.00
2020-02,Manukau,434425.00
2020-02,NorthShore,343666.67
2020-02,Papakura,67758.33
2020-02,Rodney,74400.00
2020-02,Waitakere,183841.67
2020-03,AucklandCity,512616.67
2020-03,Franklin,83100.00
2020-03,Manukau,434150.00
2020-03,NorthShore,343633.33
2020-03,Papakura,68016.67
2020-03,Rodney,74600.00
2020-03,Waitakere,183783.33
2020-04,AucklandCity,511725.00
2020-04,Franklin,83250.00
2020-04,Manukau,433875.00
2020-04,NorthShore,343600.00
2020-04,Papakura,68275.00
2020-04,Rodney,74800.00
2020-04,Waitakere,183725.00
2020-05,AucklandCity,510833.33
2020-05,Franklin,83400.00
2020-05,Manukau,433600.00
2020-05,NorthShore,343566.67
2020-05,Papakura,68533.33
2020-05,Rodney,75000.00
2020-05,Waitakere,183666.67
2020-06,AucklandCity,509941.67
2020-06,Franklin,83550.00
2020-06,Manukau,433325.00
2020-06,NorthShore,343533.33
2020-06,Papakura,68791.67
2020-06,Rodney,75200.00
2020-06,Waitakere,183608.33
2020-07,AucklandCity,509050.00
2020-07,Franklin,83700.00
2020-07,Manukau,433050.00
2020-07,NorthShore,343500.00
2020-07,Papakura,69050.00
2020-07,Rodney,75400.00
2020-07,Waitakere,183550.00
2020-08,AucklandCity,508158.33
2020-08,Franklin,83850.00
2020-08,Manukau,432775.00
2020-08,NorthShore,343466.67
2020-08,Papakura,69308.33
2020-08,Rodney,75600.00
2020-08,Waitakere,183491.67
2020-09,AucklandCity,507266.67
2020-09,Franklin,84000.00
2020-09,Manukau,432500.00
2020-09,NorthShore,343433.33
2020-09,Papakura,69566.67
2020-09,Rodney,75800.00
2020-09,Waitakere,183433.33
2020-10,AucklandCity,506375.00
2020-10,Franklin,84150.00
2020-10,Manukau,432225.00
2020-10,NorthShore,343400.00
2020-10,Papakura,69825.00
2020-10,Rodney,76000.00
2020-10,Waitakere,183375.00
2020-11,AucklandCity,505483.33
2020-11,Franklin,84300.00
2020-11,Manukau,431950.00
2020-11,NorthShore,343366.67
2020-11,Papakura,70083.33
2020-11,Rodney,76200.00
2020-11,Waitakere,183316.67
2020-12,AucklandCity,504591.67
2020-12,Franklin,84450.00
2020-12,Manukau,431675.00
2020-12,NorthShore,343333.33
2020-12,Papakura,70341.67
2020-12,Rodney,76400.00
2020-12,Waitakere,183258.33
2021-01,AucklandCity,503700.00
2021-01,Franklin,84600.00
2021-01,Manukau,431400.00
2021-01,NorthShore,343300.00
2021-01,Papakura,70600.00
2021-01,Rodney,76600.00
2021-01,Waitakere,183200.00
2021-02,AucklandCity,502808.33
2021-02,Franklin,84691.67
2021-02,Manukau,431191.67
2021-02,NorthShore,343183.33
2021-02,Papakura,70841.67
2021-02,Rodney,76758.33
2021-02,Waitakere,183133.33
2021-03,AucklandCity,501916.67
2021-03,Franklin,84783.33
2021-03,Manukau,430983.33
2021-03,NorthShore,343066.67
2021-03,Papakura,71083.33
2021-03,Rodney,76916.67
2021-03,Waitakere,183066.67
2021-04,AucklandCity,501025.00
2021-04,Franklin,84875.00
2021-04,Manukau,430775.00
2021-04,NorthShore,342950.00
2021-04,Papakura,71325.00
2021-04,Rodney,77075.00
2021-04,Waitakere,183000.00
2021-05,AucklandCity,500133.33
2021-05,Franklin,84966.67
2021-05,Manukau,430566.67
2021-05,NorthShore,342833.33
2021-05,Papakura,71566.67
2021-05,Rodney,77233.33
2021-05,Waitakere,182933.33
2021-06,AucklandCity,499241.67
2021-06,Franklin,85058.33
2021-06,Manukau,430358.33
2021-06,NorthShore,342716.67
2021-06,Papakura,71808.33
2021-06,Rodney,77391.67
2021-06,Waitakere,182866.67
2021-07,AucklandCity,498350.00
2021-07,Franklin,85150.00
2021-07,Manukau,430150.00
2021-07,NorthShore,342600.00
2021-07,Papakura,72050.00
2021-07,Rodney,77550.00
2021-07,Waitakere,182800.00
2021-08,AucklandCity,497458.33
2021-08,Franklin,85241.67
2021-08,Manukau,429941.67
2021-08,NorthShore,342483.33
2021-08,Papakura,72291.67
2021-08,Rodney,77708.33
2021-08,Waitakere,182733.33
2021-09,AucklandCity,496566.67
2021-09,Franklin,85333.33
2021-09,Manukau,429733.33
2021-09,NorthShore,342366.67
2021-09,Papakura,72533.33
2021-09,Rodney,77866.67
2021-09,Waitakere,182666.67
2021-10,AucklandCity,495675.00
2021-10,Franklin,85425.00
2021-10,Manukau,429525.00
2021-10,NorthShore,342250.00
2021-10,Papakura,72775.00
2021-10,Rodney,78025.00
2021-10,Waitakere,182600.00
2021-11,AucklandCity,494783.33
2021-11,Franklin,85516.67
2021-11,Manukau,429316.67
2021-11,NorthShore,342133.33
2021-11,Papakura,73016.67
2021-11,Rodney,78183.33
2021-11,Waitakere,182533.33
2021-12,AucklandCity,493891.67
2021-12,Franklin,85608.33
2021-12,Manukau,429108.33
2021-12,NorthShore,342016.67
2021-12,Papakura,73258.33
2021-12,Rodney,78341.67
2021-12,Waitakere,182466.67
2022-01,AucklandCity,493000.00
2022-01,Franklin,85700.00
2022-01,Manukau,428900.00
2022-01,NorthShore,341900.00
2022-01,Papakura,73500.00
2022-01,Rodney,78500.00
2022-01,Waitakere,182400.00
2022-02,AucklandCity,494200.00
2022-02,Franklin,85883.33
2022-02,Manukau,430491.67
2022-02,NorthShore,342866.67
2022-02,Papakura,73891.67
2022-02,Rodney,78683.33
2022-02,Waitakere,182916.67
2022-03,AucklandCity,495400.00
2022-03,Franklin,86066.67
2022-03,Manukau,432083.33
2022-03,NorthShore,343833.33
2022-03,Papakura,74283.33
2022-03,Rodney,78866.67
2022-03,Waitakere,183433.33
2022-04,AucklandCity,496600.00
2022-04,Franklin,86250.00
2022-04,Manukau,433675.00
2022-04,NorthShore,344800.00
2022-04,Papakura,74675.00
2022-04,Rodney,79050.00
2022-04,Waitakere,183950.00
2022-05,AucklandCity,497800.00
2022-05,Franklin,86433.33
2022-05,Manukau,435266.67
2022-05,NorthShore,345766.67
2022-05,Papakura,75066.67
2022-05,Rodney,79233.33
2022-05,Waitakere,184466.67
2022-06,AucklandCity,499000.00
2022-06,Franklin,86616.67
2022-06,Manukau,436858.33
2022-06,NorthShore,346733.33
2022-06,Papakura,75458.33
2022-06,Rodney,79416.67
2022-06,Waitakere,184983.33
2022-07,AucklandCity,500200.00
2022-07,Franklin,86800.00
2022-07,Manukau,438450.00
2022-07,NorthShore,347700.00
2022-07,Papakura,75850.00
2022-07,Rodney,79600.00
2022-07,Waitakere,185500.00
2022-08,AucklandCity,501400.00
2022-08,Franklin,86983.33
2022-08,Manukau,440041.67
2022-08,NorthShore,348666.67
2022-08,Papakura,76241.67
2022-08,Rodney,79783.33
2022-08,Waitakere,186016.67
2022-09,AucklandCity,502600.00
2022-09,Franklin,87166.67
2022-09,Manukau,441633.33
2022-09,NorthShore,349633.33
2022-09,Papakura,76633.33
2022-09,Rodney,79966.67
2022-09,Waitakere,186533.33
2022-10,AucklandCity,503800.00
2022-10,Franklin,87350.00
2022-10,Manukau,443225.00
2022-10,NorthShore,350600.00
2022-10,Papakura,77025.00
2022-10,Rodney,80150.00
2022-10,Waitakere,187050.00
2022-11,AucklandCity,505000.00
2022-11,Franklin,87533.33
2022-11,Manukau,444816.67
2022-11,NorthShore,351566.67
2022-11,Papakura,77416.67
2022-11,Rodney,80333.33
2022-11,Waitakere,187566.67
2022-12,AucklandCity,506200.00
2022-12,Franklin,87716.67
2022-12,Manukau,446408.33
2022-12,NorthShore,352533.33
2022-12,Papakura,77808.33
2022-12,Rodney,80516.67
2022-12,Waitakere,188083.33
2023-01,AucklandCity,507400.00
2023-01,Franklin,87900.00
2023-01,Manukau,448000.00
2023-01,NorthShore,353500.00
2023-01,Papakura,78200.00
2023-01,Rodney,80700.00
2023-01,Waitakere,188600.00
2023-02,AucklandCity,508300.00
2023-02,Franklin,88016.67
2023-02,Manukau,449175.00
2023-02,NorthShore,354033.33
2023-02,Papakura,78516.67
2023-02,Rodney,80858.33
2023-02,Waitakere,189008.33
2023-03,AucklandCity,509200.00
2023-03,Franklin,88133.33
2023-03,Manukau,450350.00
2023-03,NorthShore,354566.67
2023-03,Papakura,78833.33
2023-03,Rodney,81016.67
2023-03,Waitakere,189416.67
2023-04,AucklandCity,510100.00
2023-04,Franklin,88250.00
2023-04,Manukau,451525.00
2023-04,NorthShore,355100.00
2023-04,Papakura,79150.00
2023-04,Rodney,81175.00
2023-04,Waitakere,189825.00
2023-05,AucklandCity,511000.00
2023-05,Franklin,88366.67
2023-05,Manukau,452700.00
2023-05,NorthShore,355633.33
2023-05,Papakura,79466.67
2023-05,Rodney,81333.33
2023-05,Waitakere,190233.33
2023-06,AucklandCity,511900.00
2023-06,Franklin,88483.33
2023-06,Manukau,453875.00
2023-06,NorthShore,356166.67
2023-06,Papakura,79783.33
2023-06,Rodney,81491.67
2023-06,Waitakere,190641.67
2023-07,AucklandCity,512800.00
2023-07,Franklin,88600.00
2023-07,Manukau,455050.00
2023-07,NorthShore,356700.00
2023-07,Papakura,80100.00
2023-07,Rodney,81650.00
2023-07,Waitakere,191050.00
2023-08,AucklandCity,513700.00
2023-08,Franklin,88716.67
2023-08,Manukau,456225.00
2023-08,NorthShore,357233.33
2023-08,Papakura,80416.67
2023-08,Rodney,81808.33
2023-08,Waitakere,191458.33
2023-09,AucklandCity,514600.00
2023-09,Franklin,88833.33
2023-09,Manukau,457400.00
2023-09,NorthShore,357766.67
2023-09,Papakura,80733.33
2023-09,Rodney,81966.67
2023-09,Waitakere,191866.67
2023-10,AucklandCity,515500.00
2023-10,Franklin,88950.00
2023-10,Manukau,458575.00
2023-10,NorthShore,358300.00
2023-10,Papakura,81050.00
2023-10,Rodney,82125.00
2023-10,Waitakere,192275.00
2023-11,AucklandCity,516400.00
2023-11,Franklin,89066.67
2023-11,Manukau,459750.00
2023-11,NorthShore,358833.33
2023-11,Papakura,81366.67
2023-11,Rodney,82283.33
2023-11,Waitakere,192683.33
2023-12,AucklandCity,517300.00
2023-12,Franklin,89183.33
2023-12,Manukau,460925.00
2023-12,NorthShore,359366.67
2023-12,Papakura,81683.33
2023-12,Rodney,82441.67
2023-12,Waitakere,193091.67
2024-01,AucklandCity,518200.00
2024-01,Franklin,89300.00
2024-01,Manukau,462100.00
2024-01,NorthShore,359900.00
2024-01,Papakura,82000.00
2024-01,Rodney,82600.00
2024-01,Waitakere,193500.00
2024-02,AucklandCity,518450.00
2024-02,Franklin,89350.00
2024-02,Manukau,462625.00
2024-02,NorthShore,360100.00
2024-02,Papakura,82183.33
2024-02,Rodney,82666.67
2024-02,Waitakere,193716.67
2024-03,AucklandCity,518700.00
2024-03,Franklin,89400.00
2024-03,Manukau,463150.00
2024-03,NorthShore,360300.00
2024-03,Papakura,82366.67
2024-03,Rodney,82733.33
2024-03,Waitakere,193933.33
2024-04,AucklandCity,518950.00
2024-04,Franklin,89450.00
2024-04,Manukau,463675.00
2024-04,NorthShore,360500.00
2024-04,Papakura,82550.00
2024-04,Rodney,82800.00
2024-04,Waitakere,194150.00
2024-05,AucklandCity,519200.00
2024-05,Franklin,89500.00
2024-05,Manukau,464200.00
2024-05,NorthShore,360700.00
2024-05,Papakura,82733.33
2024-05,Rodney,82866.67
2024-05,Waitakere,194366.67
2024-06,AucklandCity,519450.00
2024-06,Franklin,89550.00
2024-06,Manukau,464725.00
2024-06,NorthShore,360900.00
2024-06,Papakura,82916.67
2024-06,Rodney,82933.33
2024-06,Waitakere,194583.33
2024-07,AucklandCity,519700.00
2024-07,Franklin,89600.00
2024-07,Manukau,465250.00
2024-07,NorthShore,361100.00
2024-07,Papakura,83100.00
2024-07,Rodney,83000.00
2024-07,Waitakere,194800.00
2024-08,AucklandCity,519950.00
2024-08,Franklin,89650.00
2024-08,Manukau,465775.00
2024-08,NorthShore,361300.00
2024-08,Papakura,83283.33
2024-08,Rodney,83066.67
2024-08,Waitakere,195016.67
2024-09,AucklandCity,520200.00
2024-09,Franklin,89700.00
2024-09,Manukau,466300.00
2024-09,NorthShore,361500.00
2024-09,Papakura,83466.67
2024-09,Rodney,83133.33
2024-09,Waitakere,195233.33
2024-10,AucklandCity,520450.00
2024-10,Franklin,89750.00
2024-10,Manukau,466825.00
2024-10,NorthShore,361700.00
2024-10,Papakura,83650.00
2024-10,Rodney,83200.00
2024-10,Waitakere,195450.00
2024-11,AucklandCity,520700.00
2024-11,Franklin,89800.00
2024-11,Manukau,467350.00
2024-11,NorthShore,361900.00
2024-11,Papakura,83833.33
2024-11,Rodney,83266.67
2024-11,Waitakere,195666.67
2024-12,AucklandCity,520950.00
2024-12,Franklin,89850.00
2024-12,Manukau,467875.00
2024-12,NorthShore,362100.00
2024-12,Papakura,84016.67
2024-12,Rodney,83333.33
2024-12,Waitakere,195883.33
2025-01,AucklandCity,521200.00
2025-01,Franklin,89900.00
2025-01,Manukau,468400.00
2025-01,NorthShore,362300.00
2025-01,Papakura,84200.00
2025-01,Rodney,83400.00
2025-01,Waitakere,196100.00
