Month,District,Scenario,feature,shap_value
2025-08-01,Papakura,high,f_0,-0.0026751778548062626
2025-08-01,Rodney,high,f_0,-0.0023443285403231366
2025-08-01,Waitakere,high,f_0,-0.0027293744927282203
2025-09-01,AucklandCity,high,f_0,0.008149375096826965
2025-09-01,Franklin,high,f_0,-0.0025822297545564014
2025-09-01,Manukau,high,f_0,-0.003305399560476528
2025-09-01,NorthShore,high,f_0,-0.0014834518123747113
2025-09-01,Papakura,high,f_0,-0.0026396642037982343
2025-09-01,Rodney,high,f_0,-0.0023455320298199174
2025-09-01,Waitakere,high,f_0,-0.0027768388445908424
2025-10-01,AucklandCity,high,f_0,0.007970652159682972
2025-10-01,Franklin,high,f_0,-0.0020659049384349026
2025-10-01,Manukau,high,f_0,-0.00341408699180013
2025-10-01,NorthShore,high,f_0,-0.0012677954760019297
2025-10-01,Papakura,high,f_0,-0.00216781504033013
2025-10-01,Rodney,high,f_0,-0.0019682889757391955
2025-10-01,Waitakere,high,f_0,-0.002454265546300089
2025-11-01,AucklandCity,high,f_0,0.007917778439344483
2025-11-01,Franklin,high,f_0,-0.002068242812583049
2025-11-01,Manukau,high,f_0,-0.003522448208359313
2025-11-01,NorthShore,high,f_0,-0.001371872408948713
2025-11-01,Papakura,high,f_0,-0.0021557204126705304
2025-11-01,Rodney,high,f_0,-0.0019706277063998123
2025-11-01,Waitakere,high,f_0,-0.0024505105737587865
2025-12-01,AucklandCity,high,f_0,0.007988795510498404
2025-12-01,Franklin,high,f_0,-0.002075731297932092
2025-12-01,Manukau,high,f_0,-0.003413836795011527
2025-12-01,NorthShore,high,f_0,-0.0013338241592207604
2025-12-01,Papakura,high,f_0,-0.00216962467910872
2025-12-01,Rodney,high,f_0,-0.0019763191388229313
2025-12-01,Waitakere,high,f_0,-0.002453947845900159
2026-01-01,AucklandCity,high,f_0,0.008326174405666888
2026-01-01,Franklin,high,f_0,-0.0017929711071084102
2026-01-01,Manukau,high,f_0,-0.0035627253480188187
2026-01-01,NorthShore,high,f_0,-0.0013031900450532282
2026-01-01,Papakura,high,f_0,-0.0017940892888590428
2026-01-01,Rodney,high,f_0,-0.0017405209636113018
2026-01-01,Waitakere,high,f_0,-0.0022778749425575446
2026-02-01,AucklandCity,high,f_0,0.008419359336215057
2026-02-01,Franklin,high,f_0,-0.0017971369242061315
2026-02-01,Manukau,high,f_0,-0.003390181395218341
2026-02-01,NorthShore,high,f_0,-0.001434931733477977
2026-02-01,Papakura,high,f_0,-0.0018007563289625169
2026-02-01,Rodney,high,f_0,-0.0016733616220232278
2026-02-01,Waitakere,high,f_0,-0.0023154805642677115
2026-03-01,AucklandCity,high,f_0,0.008201262841471763
2026-03-01,Franklin,high,f_0,-0.00178544939394753
2026-03-01,Manukau,high,f_0,-0.0035359969642547212
2026-03-01,NorthShore,high,f_0,-0.0015180044732967402
2026-03-01,Papakura,high,f_0,-0.0017817638116698609
2026-03-01,Rodney,high,f_0,-0.001837557224077301
2026-03-01,Waitakere,high,f_0,-0.0023765999061550434
2026-04-01,AucklandCity,high,f_0,0.007392319505909547
2026-04-01,Franklin,high,f_0,-0.0013433890015638324
2026-04-01,Manukau,high,f_0,-0.0031781187161113657
2026-04-01,NorthShore,high,f_0,-0.0015468490310842822
2026-04-01,Papakura,high,f_0,-0.0013835203566271994
2026-04-01,Rodney,high,f_0,-0.001447966633050803
2026-04-01,Waitakere,high,f_0,-0.0023864584729966754
2026-05-01,AucklandCity,high,f_0,0.007722624231560621
2026-05-01,Franklin,high,f_0,-0.0013527180747296393
2026-05-01,Manukau,high,f_0,-0.0033086412493632876
2026-05-01,NorthShore,high,f_0,-0.0016220918430657114
2026-05-01,Papakura,high,f_0,-0.0013757824528032715
2026-05-01,Rodney,high,f_0,-0.0014814032671007595
2026-05-01,Waitakere,high,f_0,-0.002371740021720119
2026-06-01,AucklandCity,high,f_0,0.007727262405928856
2026-06-01,Franklin,high,f_0,-0.0013473641121310499
2026-06-01,Manukau,high,f_0,-0.003442191603956315
2026-06-01,NorthShore,high,f_0,-0.0013778792257443523
2026-06-01,Papakura,high,f_0,-0.0013835031745498929
2026-06-01,Rodney,high,f_0,-0.0014895172875075435
2026-06-01,Waitakere,high,f_0,-0.0024059638981187522
2025-07-01,AucklandCity,low,f_0,0.011742922276449557
2025-07-01,Franklin,low,f_0,-0.003513555503422172
2025-07-01,Manukau,low,f_0,-0.0038923775396362387
2025-07-01,NorthShore,low,f_0,-0.002209842631692127
2025-07-01,Papakura,low,f_0,-0.0035182410294302504
2025-07-01,Rodney,low,f_0,-0.003300182991969018
2025-07-01,Waitakere,low,f_0,-0.0035841108234651144
2025-08-01,AucklandCity,low,f_0,0.010945808180242244
2025-08-01,Franklin,low,f_0,-0.0029402198589917536
2025-08-01,Manukau,low,f_0,-0.003908980494320577
2025-08-01,NorthShore,low,f_0,-0.0020676959077891035
2025-08-01,Papakura,low,f_0,-0.0030370192654971214
2025-08-01,Rodney,low,f_0,-0.0028609118115685774
2025-08-01,Waitakere,low,f_0,-0.003327418467491418
2025-09-01,AucklandCity,low,f_0,0.010839356940031452
2025-09-01,Franklin,low,f_0,-0.0029390815758893254
2025-09-01,Manukau,low,f_0,-0.0039060002731170244
2025-09-01,NorthShore,low,f_0,-0.0020650751765510767
2025-09-01,Papakura,low,f_0,-0.0030087170437845417
2025-09-01,Rodney,low,f_0,-0.0028669333455870524
2025-09-01,Waitakere,low,f_0,-0.003374124215954074
2025-10-01,AucklandCity,low,f_0,0.010665720572311483
2025-10-01,Franklin,low,f_0,-0.0023441266962554996
2025-10-01,Manukau,low,f_0,-0.0040504176374943366
2025-10-01,NorthShore,low,f_0,-0.0018063039922554386
2025-10-01,Papakura,low,f_0,-0.002427330298002415
2025-10-01,Rodney,low,f_0,-0.0024229184360543524
2025-10-01,Waitakere,low,f_0,-0.0031097874369232534
2025-11-01,AucklandCity,low,f_0,0.010666460292311473
2025-11-01,Franklin,low,f_0,-0.0023458828016678607
2025-11-01,Manukau,low,f_0,-0.004113471539361552
2025-11-01,NorthShore,low,f_0,-0.0019322670329580106
2025-11-01,Papakura,low,f_0,-0.0024195061873716916
2025-11-01,Rodney,low,f_0,-0.002431196138812575
2025-11-01,Waitakere,low,f_0,-0.003092951803545322
2025-12-01,AucklandCity,low,f_0,0.01057142149570525
2025-12-01,Franklin,low,f_0,-0.002352289458365613
2025-12-01,Manukau,low,f_0,-0.004040059508516895
2025-12-01,NorthShore,low,f_0,-0.0018777846840193335
2025-12-01,Papakura,low,f_0,-0.002428325737054675
2025-12-01,Rodney,low,f_0,-0.0024565402888039665
2025-12-01,Waitakere,low,f_0,-0.003084422442820824
2026-01-01,AucklandCity,low,f_0,0.01064308417609887
2026-01-01,Franklin,low,f_0,-0.0019430778106053737
2026-01-01,Manukau,low,f_0,-0.004086843711852453
2026-01-01,NorthShore,low,f_0,-0.0017179825682673861
2026-01-01,Papakura,low,f_0,-0.0019392367626361595
2026-01-01,Rodney,low,f_0,-0.0020917528608653396
2026-01-01,Waitakere,low,f_0,-0.0027937329449667704
2026-02-01,AucklandCity,low,f_0,0.010659053772101681
2026-02-01,Franklin,low,f_0,-0.0019492318275866182
2026-02-01,Manukau,low,f_0,-0.003865573852448992
2026-02-01,NorthShore,low,f_0,-0.0018310355003245092
2026-02-01,Papakura,low,f_0,-0.001946781657947844
2026-02-01,Rodney,low,f_0,-0.001994321504191555
2026-02-01,Waitakere,low,f_0,-0.002826445692475417
2026-03-01,AucklandCity,low,f_0,0.010531282563923909
2026-03-01,Franklin,low,f_0,-0.0019334137615001443
2026-03-01,Manukau,low,f_0,-0.004011152784644208
2026-03-01,NorthShore,low,f_0,-0.0019800250731868718
2026-03-01,Papakura,low,f_0,-0.001928415840104726
2026-03-01,Rodney,low,f_0,-0.0021700375768583468
2026-03-01,Waitakere,low,f_0,-0.00288627689756162
2026-04-01,AucklandCity,low,f_0,0.00962762922221575
2026-04-01,Franklin,low,f_0,-0.0015307100134393909
2026-04-01,Manukau,low,f_0,-0.003865796002504704
2026-04-01,NorthShore,low,f_0,-0.0019578123279624412
2026-04-01,Papakura,low,f_0,-0.0015650754431169674
2026-04-01,Rodney,low,f_0,-0.001886021318622023
