Month,CPI,CGPI_Dwelling,OCR,2YearFixedRate,unemployment_rate
2025-07-01,1319.0740511483207,1093.9539004262592,3.058699097797041,5.510090801606561,5.859716735590646
2025-08-01,1323.5427022938,1094.5416460202205,2.8635040180941376,5.428829119830572,5.919213644621352
2025-09-01,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-10-01,1332.676046112934,1095.6084700694585,2.461802271089724,5.262406998702709,6.037420453100641
2025-11-01,1337.3418829735754,1096.0874564118305,2.255486727862391,5.177327881419138,6.096066728538998
2025-12-01,1342.074608442348,1096.5301037023214,2.0456591647274736,5.091058885717173,6.154365963618709
2026-01-01,1346.8748185684644,1096.9363751052645,1.8324205893388117,5.003642559471721,6.21228656427971
2026-02-01,1351.7431192044478,1097.3062374764875,1.6158741016193583,4.915122168446694,6.269797054435368
2026-03-01,1356.680126132444,1097.6396613640115,1.3961248440587477,4.825541675139953,6.326866093057325
2026-04-01,1361.6864651928413,1097.9366210080682,1.1732799507984235,4.734945717202666,6.383462491232055
2026-05-01,1366.762772415248,1098.1970943404372,0.9474484955282968,4.643379585443492,6.439555229179973
2026-06-01,1371.9096941518537,1098.42106298311,0.7187414382195516,4.550889201428235,6.495113473227966
