Month,District,CPI,CGPI_Dwelling,OCR,2YearFixedRate,unemployment_rate
2025-07-01,AucklandCity,1319.074051148321,1093.9539004262592,3.058699097797041,5.510090801606561,5.859716735590646
2025-07-01,Franklin,1319.074051148321,1093.9539004262592,3.058699097797041,5.510090801606561,5.859716735590646
2025-07-01,Manukau,1319.074051148321,1093.9539004262592,3.058699097797041,5.510090801606561,5.859716735590646
2025-07-01,NorthShore,1319.074051148321,1093.9539004262592,3.058699097797041,5.510090801606561,5.859716735590646
2025-07-01,Papakura,1319.074051148321,1093.9539004262592,3.058699097797041,5.510090801606561,5.859716735590646
2025-07-01,Rodney,1319.074051148321,1093.9539004262592,3.058699097797041,5.510090801606561,5.859716735590646
2025-07-01,Waitakere,1319.074051148321,1093.9539004262592,3.058699097797041,5.510090801606561,5.859716735590646
2025-08-01,AucklandCity,1323.5427022938,1094.5416460202205,2.8635040180941376,5.428829119830572,5.919213644621352
2025-08-01,Franklin,1323.5427022938,1094.5416460202205,2.8635040180941376,5.428829119830572,5.919213644621352
2025-08-01,Manukau,1323.5427022938,1094.5416460202205,2.8635040180941376,5.428829119830572,5.919213644621352
2025-08-01,NorthShore,1323.5427022938,1094.5416460202205,2.8635040180941376,5.428829119830572,5.919213644621352
2025-08-01,Papakura,1323.5427022938,1094.5416460202205,2.8635040180941376,5.428829119830572,5.919213644621352
2025-08-01,Rodney,1323.5427022938,1094.5416460202205,2.8635040180941376,5.428829119830572,5.919213644621352
2025-08-01,Waitakere,1323.5427022938,1094.5416460202205,2.8635040180941376,5.428829119830572,5.919213644621352
2025-09-01,AucklandCity,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-09-01,Franklin,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-09-01,Manukau,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
