Month,District,unemployment_rate
2018-06,Manukau,4.3
2018-06,NorthShore,4.3
2018-06,Papakura,4.3
2018-06,Rodney,4.3
2018-06,Waitakere,4.3
2018-07,AucklandCity,4.23
2018-07,Franklin,4.23
2018-07,Manukau,4.23
2018-07,NorthShore,4.23
2018-07,Papakura,4.23
2018-07,Rodney,4.23
2018-07,Waitakere,4.23
2018-08,AucklandCity,4.17
2018-08,Franklin,4.17
2018-08,Manukau,4.17
2018-08,NorthShore,4.17
2018-08,Papakura,4.17
2018-08,Rodney,4.17
2018-08,Waitakere,4.17
2018-09,AucklandCity,4.1
2018-09,Franklin,4.1
2018-09,Manukau,4.1
2018-09,NorthShore,4.1
2018-09,Papakura,4.1
2018-09,Rodney,4.1
2018-09,Waitakere,4.1
2018-10,AucklandCity,4.13
2018-10,Franklin,4.13
2018-10,Manukau,4.13
2018-10,NorthShore,4.13
2018-10,Papakura,4.13
2018-10,Rodney,4.13
2018-10,Waitakere,4.13
2018-11,AucklandCity,4.17
2018-11,Franklin,4.17
2018-11,Manukau,4.17
2018-11,NorthShore,4.17
2018-11,Papakura,4.17
2018-11,Rodney,4.17
2018-11,Waitakere,4.17
2018-12,AucklandCity,4.2
2018-12,Franklin,4.2
2018-12,Manukau,4.2
2018-12,NorthShore,4.2
2018-12,Papakura,4.2
2018-12,Rodney,4.2
2018-12,Waitakere,4.2
2019-01,AucklandCity,4.2
2019-01,Franklin,4.2
2019-01,Manukau,4.2
2019-01,NorthShore,4.2
2019-01,Papakura,4.2
2019-01,Rodney,4.2
2019-01,Waitakere,4.2
2019-02,AucklandCity,4.2
2019-02,Franklin,4.2
2019-02,Manukau,4.2
2019-02,NorthShore,4.2
2019-02,Papakura,4.2
2019-02,Rodney,4.2
2019-02,Waitakere,4.2
2019-03,AucklandCity,4.2
2019-03,Franklin,4.2
2019-03,Manukau,4.2
2019-03,NorthShore,4.2
2019-03,Papakura,4.2
2019-03,Rodney,4.2
2019-03,Waitakere,4.2
2019-04,AucklandCity,4.2
2019-04,Franklin,4.2
2019-04,Manukau,4.2
2019-04,NorthShore,4.2
2019-04,Papakura,4.2
2019-04,Rodney,4.2
2019-04,Waitakere,4.2
2019-05,AucklandCity,4.2
2019-05,Franklin,4.2
2019-05,Manukau,4.2
2019-05,NorthShore,4.2
2019-05,Papakura,4.2
2019-05,Rodney,4.2
2019-05,Waitakere,4.2
2019-06,AucklandCity,4.2
2019-06,Franklin,4.2
2019-06,Manukau,4.2
2019-06,NorthShore,4.2
2019-06,Papakura,4.2
2019-06,Rodney,4.2
2019-06,Waitakere,4.2
2019-07,AucklandCity,4.23
2019-07,Franklin,4.23
2019-07,Manukau,4.23
2019-07,NorthShore,4.23
2019-07,Papakura,4.23
2019-07,Rodney,4.23
2019-07,Waitakere,4.23
2019-08,AucklandCity,4.27
2019-08,Franklin,4.27
2019-08,Manukau,4.27
2019-08,NorthShore,4.27
2019-08,Papakura,4.27
2019-08,Rodney,4.27
2019-08,Waitakere,4.27
2019-09,AucklandCity,4.3
2019-09,Franklin,4.3
2019-09,Manukau,4.3
2019-09,NorthShore,4.3
2019-09,Papakura,4.3
2019-09,Rodney,4.3
2019-09,Waitakere,4.3
2019-10,AucklandCity,4.27
2019-10,Franklin,4.27
2019-10,Manukau,4.27
2019-10,NorthShore,4.27
2019-10,Papakura,4.27
2019-10,Rodney,4.27
2019-10,Waitakere,4.27
2019-11,AucklandCity,4.23
2019-11,Franklin,4.23
2019-11,Manukau,4.23
2019-11,NorthShore,4.23
2019-11,Papakura,4.23
2019-11,Rodney,4.23
2019-11,Waitakere,4.23
2019-12,AucklandCity,4.2
2019-12,Franklin,4.2
2019-12,Manukau,4.2
2019-12,NorthShore,4.2
2019-12,Papakura,4.2
2019-12,Rodney,4.2
2019-12,Waitakere,4.2
2020-01,AucklandCity,4.23
2020-01,Franklin,4.23
2020-01,Manukau,4.23
2020-01,NorthShore,4.23
2020-01,Papakura,4.23
2020-01,Rodney,4.23
2020-01,Waitakere,4.23
2020-02,AucklandCity,4.27
2020-02,Franklin,4.27
2020-02,Manukau,4.27
2020-02,NorthShore,4.27
2020-02,Papakura,4.27
2020-02,Rodney,4.27
2020-02,Waitakere,4.27
2020-03,AucklandCity,4.3
2020-03,Franklin,4.3
2020-03,Manukau,4.3
2020-03,NorthShore,4.3
2020-03,Papakura,4.3
2020-03,Rodney,4.3
2020-03,Waitakere,4.3
2020-04,AucklandCity,4.3
2020-04,Franklin,4.3
2020-04,Manukau,4.3
2020-04,NorthShore,4.3
2020-04,Papakura,4.3
2020-04,Rodney,4.3
2020-04,Waitakere,4.3
2020-05,AucklandCity,4.3
2020-05,Franklin,4.3
2020-05,Manukau,4.3
2020-05,NorthShore,4.3
2020-05,Papakura,4.3
2020-05,Rodney,4.3
2020-05,Waitakere,4.3
2020-06,AucklandCity,4.3
2020-06,Franklin,4.3
2020-06,Manukau,4.3
2020-06,NorthShore,4.3
2020-06,Papakura,4.3
2020-06,Rodney,4.3
2020-06,Waitakere,4.3
2020-07,AucklandCity,4.4
2020-07,Franklin,4.4
2020-07,Manukau,4.4
2020-07,NorthShore,4.4
2020-07,Papakura,4.4
2020-07,Rodney,4.4
2020-07,Waitakere,4.4
2020-08,AucklandCity,4.5
2020-08,Franklin,4.5
2020-08,Manukau,4.5
2020-08,NorthShore,4.5
2020-08,Papakura,4.5
2020-08,Rodney,4.5
2020-08,Waitakere,4.5
2020-09,AucklandCity,4.6
2020-09,Franklin,4.6
2020-09,Manukau,4.6
2020-09,NorthShore,4.6
2020-09,Papakura,4.6
2020-09,Rodney,4.6
2020-09,Waitakere,4.6
2020-10,AucklandCity,4.7
2020-10,Franklin,4.7
2020-10,Manukau,4.7
2020-10,NorthShore,4.7
2020-10,Papakura,4.7
2020-10,Rodney,4.7
2020-10,Waitakere,4.7
2020-11,AucklandCity,4.8
2020-11,Franklin,4.8
2020-11,Manukau,4.8
2020-11,NorthShore,4.8
2020-11,Papakura,4.8
2020-11,Rodney,4.8
2020-11,Waitakere,4.8
2020-12,AucklandCity,4.9
2020-12,Franklin,4.9
