feature,coef,abs_coef
weeklyrent,0.1401441573951649,0.1401441573951649
CGPI_Dwelling_lag1,0.13083692276437525,0.13083692276437525
OCR_lag1,-0.09407589529351487,0.09407589529351487
CGPI_Dwelling_lag9,-0.0867684388887515,0.0867684388887515
unemployment_rate_lag6,0.061685697030854525,0.061685697030854525
log_sales_count,0.05412409975957805,0.05412409975957805
unemployment_rate_lag9,-0.04784612259165956,0.04784612259165956
unemployment_rate_lag1,-0.042928452646702184,0.042928452646702184
log_sales_count_lag1,0.03744952894773422,0.03744952894773422
log_sales_count_lag12,0.03559651103157686,0.03559651103157686
unemployment_rate_lag3,0.03265732959650328,0.03265732959650328
log_Consents_lag1,-0.019726664834711402,0.019726664834711402
log_Consents_lag9,-0.016423784670975553,0.016423784670975553
log_sales_count_lag3,0.016370231033775936,0.016370231033775936
log_sales_count_lag9,0.015157874491773568,0.015157874491773568
log_Consents,-0.010724599580752425,0.010724599580752425
OCR_lag12,0.009118016827881503,0.009118016827881503
Net_migration_monthly,0.008024709011585484,0.008024709011585484
log_Consents_lag6,-0.006457091215249733,0.006457091215249733
log_Consents_lag3,-0.006240056715893647,0.006240056715893647
log_sales_count_lag6,0.0023611052892824245,0.0023611052892824245
log_Consents_lag12,-0.002012072141072049,0.002012072141072049
