Month,District,Consents
2020-08,Franklin,95.0
2020-08,Manukau,237.0
2020-08,NorthShore,382.0
2020-08,Papakura,114.0
2020-08,Rodney,97.0
2020-08,Waitakere,217.0
2020-09,AucklandCity,458.0
2020-09,Franklin,71.0
2020-09,Manukau,351.0
2020-09,NorthShore,423.0
2020-09,Papakura,153.0
2020-09,Rodney,126.0
2020-09,Waitakere,146.0
2020-10,AucklandCity,352.0
2020-10,Franklin,76.0
2020-10,Manukau,352.0
2020-10,NorthShore,339.0
2020-10,Papakura,123.0
2020-10,Rodney,120.0
2020-10,Waitakere,196.0
2020-11,AucklandCity,538.0
2020-11,Franklin,91.0
2020-11,Manukau,452.0
2020-11,NorthShore,210.0
2020-11,Papakura,140.0
2020-11,Rodney,98.0
2020-11,Waitakere,202.0
2020-12,AucklandCity,489.0
2020-12,Franklin,71.0
2020-12,Manukau,468.0
2020-12,NorthShore,177.0
2020-12,Papakura,165.0
2020-12,Rodney,76.0
2020-12,Waitakere,141.0
2021-01,AucklandCity,519.0
2021-01,Franklin,77.0
2021-01,Manukau,201.0
2021-01,NorthShore,281.0
2021-01,Papakura,92.0
2021-01,Rodney,67.0
2021-01,Waitakere,166.0
2021-02,AucklandCity,278.0
2021-02,Franklin,108.0
2021-02,Manukau,284.0
2021-02,NorthShore,209.0
2021-02,Papakura,110.0
2021-02,Rodney,80.0
2021-02,Waitakere,104.0
2021-03,AucklandCity,390.0
2021-03,Franklin,116.0
2021-03,Manukau,344.0
2021-03,NorthShore,384.0
2021-03,Papakura,125.0
2021-03,Rodney,76.0
2021-03,Waitakere,181.0
2021-04,AucklandCity,307.0
2021-04,Franklin,96.0
2021-04,Manukau,309.0
2021-04,NorthShore,528.0
2021-04,Papakura,79.0
2021-04,Rodney,112.0
2021-04,Waitakere,185.0
2021-05,AucklandCity,386.0
2021-05,Franklin,143.0
2021-05,Manukau,462.0
2021-05,NorthShore,317.0
2021-05,Papakura,81.0
2021-05,Rodney,116.0
2021-05,Waitakere,199.0
2021-06,AucklandCity,318.0
2021-06,Franklin,135.0
2021-06,Manukau,387.0
2021-06,NorthShore,549.0
2021-06,Papakura,113.0
2021-06,Rodney,124.0
2021-06,Waitakere,279.0
2021-07,AucklandCity,490.0
2021-07,Franklin,193.0
2021-07,Manukau,281.0
2021-07,NorthShore,361.0
2021-07,Papakura,84.0
2021-07,Rodney,121.0
2021-07,Waitakere,158.0
2021-08,AucklandCity,518.0
2021-08,Franklin,140.0
2021-08,Manukau,488.0
2021-08,NorthShore,380.0
2021-08,Papakura,159.0
2021-08,Rodney,162.0
2021-08,Waitakere,312.0
2021-09,AucklandCity,542.0
2021-09,Franklin,83.0
2021-09,Manukau,307.0
2021-09,NorthShore,319.0
2021-09,Papakura,90.0
2021-09,Rodney,150.0
2021-09,Waitakere,198.0
2021-10,AucklandCity,402.0
2021-10,Franklin,92.0
2021-10,Manukau,371.0
2021-10,NorthShore,329.0
2021-10,Papakura,86.0
2021-10,Rodney,161.0
2021-10,Waitakere,166.0
2021-11,AucklandCity,659.0
2021-11,Franklin,106.0
2021-11,Manukau,397.0
2021-11,NorthShore,540.0
2021-11,Papakura,90.0
2021-11,Rodney,141.0
2021-11,Waitakere,252.0
2021-12,AucklandCity,470.0
2021-12,Franklin,83.0
2021-12,Manukau,380.0
2021-12,NorthShore,378.0
2021-12,Papakura,100.0
2021-12,Rodney,109.0
2021-12,Waitakere,209.0
2022-01,AucklandCity,368.0
2022-01,Franklin,50.0
2022-01,Manukau,251.0
2022-01,NorthShore,120.0
2022-01,Papakura,138.0
2022-01,Rodney,67.0
2022-01,Waitakere,204.0
2022-02,AucklandCity,384.0
2022-02,Franklin,65.0
2022-02,Manukau,404.0
2022-02,NorthShore,230.0
2022-02,Papakura,136.0
2022-02,Rodney,126.0
2022-02,Waitakere,286.0
2022-03,AucklandCity,867.0
2022-03,Franklin,74.0
2022-03,Manukau,503.0
2022-03,NorthShore,234.0
2022-03,Papakura,112.0
2022-03,Rodney,132.0
2022-03,Waitakere,384.0
2022-04,AucklandCity,279.0
2022-04,Franklin,88.0
2022-04,Manukau,366.0
2022-04,NorthShore,345.0
2022-04,Papakura,164.0
2022-04,Rodney,112.0
2022-04,Waitakere,253.0
2022-05,AucklandCity,381.0
2022-05,Franklin,139.0
