mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,param_svr__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02055015563964844,0.002377991729870656,0.006488275527954101,0.0004851992156446652,1.0,0.05,0.01,rbf,"{'svr__C': 1.0, 'svr__epsilon': 0.05, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",-0.18193155112845935,-0.13212214817289308,-0.15192045957785916,-0.08457167987238301,-0.0811746553039032,-0.12634409881109956,0.038891424634165714,1,-0.03932294212366524,-0.03973771870961837,-0.03893027330254633,-0.042389668080802086,-0.043806376665881004,-0.040837395776502604,0.0019164744964064633
0.017087316513061522,0.007841604631751648,0.00678558349609375,0.003225512965170525,10.0,0.05,0.01,rbf,"{'svr__C': 10.0, 'svr__epsilon': 0.05, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",-0.18238624394517614,-0.12145543207914294,-0.15245770272942943,-0.0797612752188703,-0.11006084284797878,-0.12922429936411953,0.03532751761928832,2,-0.036489455117407144,-0.03609641114095952,-0.035443253051755434,-0.03550713051547865,-0.036188464290756346,-0.03594494282327142,0.00040549013269198435
0.014469671249389648,0.002944401691599184,0.005690670013427735,0.0006864994542768393,100.0,0.05,0.01,rbf,"{'svr__C': 100.0, 'svr__epsilon': 0.05, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",-0.18238624394517614,-0.12145543207914294,-0.15311850400626034,-0.08106327629311204,-0.12620994715734848,-0.132846680696208,0.03382437847443374,3,-0.036489455117407144,-0.03609641114095952,-0.035427433891855986,-0.03548514036216002,-0.03548328516191557,-0.035796345134859645,0.0004245919260534747
0.01639866828918457,0.009151993791191035,0.008114147186279296,0.00601371117498553,10.0,0.1,0.01,rbf,"{'svr__C': 10.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",-0.1849136832668853,-0.1368489795292733,-0.14490086481174955,-0.10244968335566274,-0.09859661753430793,-0.13354196569957577,0.03151800017472925,4,-0.06505088958124343,-0.06407225037822509,-0.06354209347519703,-0.061889228897496526,-0.061360566048713955,-0.06318300567617521,0.0013714105890747905
0.010508346557617187,0.0010966717603222932,0.0055237293243408205,0.001238992822919744,100.0,0.1,0.01,rbf,"{'svr__C': 100.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",-0.1849136832668853,-0.1368489795292733,-0.14490086481174955,-0.10244968335566274,-0.09859661753430793,-0.13354196569957577,0.03151800017472925,4,-0.06505088958124343,-0.06407225037822509,-0.06354209347519703,-0.061889228897496526,-0.061360566048713955,-0.06318300567617521,0.0013714105890747905
0.011374330520629883,0.0008761873582588608,0.005752086639404297,0.0007824961983407336,1.0,0.1,0.01,rbf,"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",-0.1874013283311565,-0.13706816504658895,-0.14497099690104584,-0.10222790774998014,-0.0969810101357607,-0.13372988163290642,0.03274441910964084,6,-0.0657849893536347,-0.06500473020252284,-0.06392762338732505,-0.06375857198134735,-0.06355364189213315,-0.0644059113633926,0.0008525973282277955
0.011825847625732421,0.003222981560783668,0.00507960319519043,0.000228431208386944,1.0,0.2,0.01,rbf,"{'svr__C': 1.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",-0.207836989630536,-0.14205598828440597,-0.14806771777148947,-0.125932792493635,-0.1309562081429664,-0.15096993926460658,0.029492883822488995,7,-0.11763465859746897,-0.11207161461984892,-0.11185426033544672,-0.11166466181311388,-0.11246301003059972,-0.11313764107929565,0.0022641307415936208
0.01420764923095703,0.010981490119443313,0.00505523681640625,0.0008772272178452667,10.0,0.2,0.01,rbf,"{'svr__C': 10.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",-0.207836989630536,-0.14205598828440597,-0.14806771777148947,-0.125932792493635,-0.1309562081429664,-0.15096993926460658,0.029492883822488995,7,-0.11763465859746897,-0.11207161461984892,-0.11185426033544672,-0.11166466181311388,-0.11246301003059972,-0.11313764107929565,0.0022641307415936208
0.008951091766357422,0.0004370584565731986,0.004975652694702149,0.0007200647588964433,100.0,0.2,0.01,rbf,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",-0.207836989630536,-0.14205598828440597,-0.14806771777148947,-0.125932792493635,-0.1309562081429664,-0.15096993926460658,0.029492883822488995,7,-0.11763465859746897,-0.11207161461984892,-0.11185426033544672,-0.11166466181311388,-0.11246301003059972,-0.11313764107929565,0.0022641307415936208
0.01889028549194336,0.011024401644070984,0.005920505523681641,0.0009680360932514187,100.0,0.05,0.1,rbf,"{'svr__C': 100.0, 'svr__epsilon': 0.05, 'svr__gamma': 0.1, 'svr__kernel': 'rbf'}",-0.2267791052465616,-0.15296404219325907,-0.1478680479852749,-0.1423414914300139,-0.12535765431739052,-0.15906206823450003,0.03511026721289144,10,-0.04181282835150408,-0.04108542463308711,-0.04026447051762477,-0.03988307407454745,-0.040055070992274504,-0.040620173713807585,0.0007249917558932084
