Month,District,Consents_forecast,sales_count_forecast
2025-07-01,AucklandCity,339.6396609055627,559.6410229643286
2025-07-01,Franklin,108.07555514141683,87.1471171837915
2025-07-01,Manukau,332.9022437191208,487.88315452641336
2025-07-01,NorthShore,223.71916794431627,333.55097424633857
2025-07-01,Papakura,75.77287000094202,82.13461902084887
2025-07-01,Rodney,76.14204354540468,201.11549646753917
2025-07-01,Waitakere,159.2060910494825,332.3198343466683
2025-08-01,AucklandCity,327.642836121617,567.7972333632717
2025-08-01,Franklin,104.25808725500366,88.41719960135161
2025-08-01,Manukau,321.1433994268131,494.9935654775976
2025-08-01,NorthShore,215.816911619239,338.412147414659
2025-08-01,Papakura,73.09640447169761,83.3316492711023
2025-08-01,Rodney,73.4525379892212,204.04655447859872
2025-08-01,Waitakere,153.58257943200795,337.1630648774046
2025-09-01,AucklandCity,356.84126170492686,555.3447844861906
2025-09-01,Franklin,113.54921670012754,86.47810833215185
2025-09-01,Manukau,349.76261711132366,484.13778509261243
2025-09-01,NorthShore,235.04978760128878,330.99037830863
2025-09-01,Papakura,79.61050974449581,81.50408999215922
2025-09-01,Rodney,79.9983806811317,199.57157795724666
2025-09-01,Waitakere,167.26934142418446,329.76868959354397
2025-10-01,AucklandCity,304.2675198815332,626.348470871966
2025-10-01,Franklin,96.81990917969439,97.53477916940881
2025-10-01,Manukau,298.2317783186658,546.0372904458936
2025-10-01,NorthShore,200.41969244370554,373.3092001912896
2025-10-01,Papakura,67.8814222344398,91.92480700729342
2025-10-01,Rodney,68.2121477995285,225.08783043434727
2025-10-01,Waitakere,142.62539994446868,371.93131229182256
2025-11-01,AucklandCity,331.05567802203296,681.6465544918569
2025-11-01,Franklin,105.3440758053806,106.14577867715737
2025-11-01,Manukau,324.48854093083503,594.2449849655596
2025-11-01,NorthShore,218.06493574059996,406.26734462407495
2025-11-01,Papakura,73.8578020804589,100.04052198230569
2025-11-01,Rodney,74.2176452087438,244.9600361601
2025-11-01,Waitakere,155.18234907282795,404.76780789200603
2025-12-01,AucklandCity,252.55581074699805,596.3836519965334
2025-12-01,Franklin,80.36490608280835,92.86866736778191
2025-12-01,Manukau,247.54587210989726,519.9145979378956
2025-12-01,NorthShore,166.35741447030523,355.4499044661929
2025-12-01,Papakura,56.344652343284004,87.5270790328035
2025-12-01,Rodney,56.619169528878636,214.3195179315009
2025-12-01,Waitakere,118.38553628765533,354.1379354014612
2026-01-01,AucklandCity,218.45858578537772,390.5224365061831
2026-01-01,Franklin,69.51494672681449,60.81202617498853
2026-01-01,Manukau,214.12503231735255,340.44916369206527
2026-01-01,NorthShore,143.89772063689009,232.7548085587606
2026-01-01,Papakura,48.73763557874861,57.31426079459058
2026-01-01,Rodney,48.97509056329799,140.34016535035207
2026-01-01,Waitakere,102.4024620868958,231.89570828989085
2026-02-01,AucklandCity,277.04488185203303,504.44242692324315
2026-02-01,Franklin,88.15748821976376,78.55160984929815
2026-02-01,Manukau,271.54915457616386,439.762191164386
2026-02-01,NorthShore,182.48825913296955,300.65212528596186
2026-02-01,Papakura,61.8081108697062,74.03350514555443
2026-02-01,Rodney,62.10924661084979,181.2790431133653
2026-02-01,Waitakere,129.86478836814047,299.5424153587265
2026-03-01,AucklandCity,370.60543974871905,663.2296521411814
2026-03-01,Franklin,117.92906792004077,103.2779046624623
2026-03-01,Manukau,363.2537557537037,578.1895207541286
2026-03-01,NorthShore,244.11619183448232,395.29070876359225
2026-03-01,Papakura,82.68126794393967,97.33760136704313
2026-03-01,Rodney,83.08409994366663,238.34164274778152
2026-03-01,Waitakere,173.72129988221204,393.83168690155935
2026-04-01,AucklandCity,277.56694418247207,569.4376733375327
2026-04-01,Franklin,88.3236118580638,88.67264837798466
2026-04-01,Manukau,272.0608607788524,496.42366619683077
2026-04-01,NorthShore,182.83213932019353,339.38986407436545
2026-04-01,Papakura,61.924581840709045,83.57240523212677
2026-04-01,Rodney,62.226285040907456,204.63607148380532
2026-04-01,Waitakere,130.10950508553375,338.1371727753827
2026-05-01,AucklandCity,329.98515389708734,548.5569102915315
2026-05-01,Franklin,105.00342804714381,85.42110278109791
2026-05-01,Manukau,323.4392527464114,478.220260574704
2026-05-01,NorthShore,217.35978615395098,326.94474555873336
2026-05-01,Papakura,73.61897047540988,80.50788092587833
2026-05-01,Rodney,73.9776499905155,197.13225233135327
2026-05-01,Waitakere,154.68054088925967,325.7379893135916
2026-06-01,AucklandCity,281.28533573175054,504.9005423047367
2026-06-01,Franklin,89.50682829942387,78.62294742677459
2026-06-01,Manukau,275.70549075663695,440.1615664215397
2026-06-01,NorthShore,185.2814276667835,300.925166084517
2026-06-01,Papakura,62.75414691189318,74.10073955258066
2026-06-01,Rodney,63.05989184203646,181.44367382949915
2026-06-01,Waitakere,131.85250112425805,299.81444836103066
