Month,Consents_forecast,sales_count_forecast
2025-07-01,1315.4576323062465,2083.792218755929
2025-08-01,1268.9927563156,2114.161414483986
2025-09-01,1382.0811149674794,2067.795413762535
2025-10-01,1178.4578698020364,2332.1736904120216
2025-11-01,1282.2110268608797,2538.073028793061
2025-12-01,978.1733615698273,2220.60135413417
2026-01-01,846.1114736953775,1454.0885693668313
2026-02-01,1073.021929629627,1878.2633168405353
2026-03-01,1435.3911230267647,2469.498717337749
2026-04-01,1075.0439281067324,2120.269501478029
2026-05-01,1278.064782199779,2042.5211417768905
2026-06-01,1089.445622332783,1879.9690839806788
