District,consents_share,sales_share
AucklandCity,0.25819125798077597,0.2685685347738015
Franklin,0.08215814214551323,0.041821404456448344
Manukau,0.25306952922191817,0.23413234301147873
NorthShore,0.17006945906125026,0.1600692099932478
Papakura,0.05760190837016768,0.03941593517893315
Rodney,0.057882551041885916,0.09651417960837272
Waitakere,0.12102715217848874,0.15947839297771776
