Month,District,weeklyrent
2002-04,Manukau,240.0
2002-04,NorthShore,278.25
2002-04,Papakura,233.0
2002-04,Rodney,217.0
2002-04,Waitakere,242.0
2002-05,AucklandCity,281.33
2002-05,Franklin,212.0
2002-05,Manukau,240.0
2002-05,NorthShore,278.25
2002-05,Papakura,233.0
2002-05,Rodney,217.0
2002-05,Waitakere,242.0
2002-06,AucklandCity,281.33
2002-06,Franklin,212.0
2002-06,Manukau,240.0
2002-06,NorthShore,278.25
2002-06,Papakura,233.0
2002-06,Rodney,217.0
2002-06,Waitakere,242.0
2002-07,AucklandCity,281.33
2002-07,Franklin,212.0
2002-07,Manukau,240.0
2002-07,NorthShore,278.25
2002-07,Papakura,233.0
2002-07,Rodney,217.0
2002-07,Waitakere,242.0
2002-08,AucklandCity,281.33
2002-08,Franklin,212.0
2002-08,Manukau,240.0
2002-08,NorthShore,278.25
2002-08,Papakura,233.0
2002-08,Rodney,217.0
2002-08,Waitakere,242.0
2002-09,AucklandCity,281.33
2002-09,Franklin,212.0
2002-09,Manukau,240.0
2002-09,NorthShore,278.25
2002-09,Papakura,233.0
2002-09,Rodney,217.0
2002-09,Waitakere,242.0
2002-10,AucklandCity,281.33
2002-10,Franklin,212.0
2002-10,Manukau,240.0
2002-10,NorthShore,278.25
2002-10,Papakura,233.0
2002-10,Rodney,217.0
2002-10,Waitakere,242.0
2002-11,AucklandCity,281.33
2002-11,Franklin,212.0
2002-11,Manukau,240.0
2002-11,NorthShore,278.25
2002-11,Papakura,233.0
2002-11,Rodney,217.0
2002-11,Waitakere,242.0
2002-12,AucklandCity,281.33
2002-12,Franklin,212.0
2002-12,Manukau,240.0
2002-12,NorthShore,278.25
2002-12,Papakura,233.0
2002-12,Rodney,217.0
2002-12,Waitakere,242.0
2003-01,AucklandCity,316.67
2003-01,Franklin,222.0
2003-01,Manukau,261.5
2003-01,NorthShore,311.25
2003-01,Papakura,242.0
2003-01,Rodney,234.0
2003-01,Waitakere,267.0
2003-02,AucklandCity,316.67
2003-02,Franklin,222.0
2003-02,Manukau,261.5
2003-02,NorthShore,311.25
2003-02,Papakura,242.0
2003-02,Rodney,234.0
2003-02,Waitakere,267.0
2003-03,AucklandCity,316.67
2003-03,Franklin,222.0
2003-03,Manukau,261.5
2003-03,NorthShore,311.25
2003-03,Papakura,242.0
2003-03,Rodney,234.0
2003-03,Waitakere,267.0
2003-04,AucklandCity,316.67
2003-04,Franklin,222.0
2003-04,Manukau,261.5
2003-04,NorthShore,311.25
2003-04,Papakura,242.0
2003-04,Rodney,234.0
2003-04,Waitakere,267.0
2003-05,AucklandCity,316.67
2003-05,Franklin,222.0
2003-05,Manukau,261.5
2003-05,NorthShore,311.25
2003-05,Papakura,242.0
2003-05,Rodney,234.0
2003-05,Waitakere,267.0
2003-06,AucklandCity,316.67
2003-06,Franklin,222.0
2003-06,Manukau,261.5
2003-06,NorthShore,311.25
2003-06,Papakura,242.0
2003-06,Rodney,234.0
2003-06,Waitakere,267.0
2003-07,AucklandCity,316.67
2003-07,Franklin,222.0
2003-07,Manukau,261.5
2003-07,NorthShore,311.25
2003-07,Papakura,242.0
2003-07,Rodney,234.0
2003-07,Waitakere,267.0
2003-08,AucklandCity,316.67
2003-08,Franklin,222.0
2003-08,Manukau,261.5
2003-08,NorthShore,311.25
2003-08,Papakura,242.0
2003-08,Rodney,234.0
2003-08,Waitakere,267.0
2003-09,AucklandCity,316.67
2003-09,Franklin,222.0
2003-09,Manukau,261.5
2003-09,NorthShore,311.25
2003-09,Papakura,242.0
2003-09,Rodney,234.0
2003-09,Waitakere,267.0
2003-10,AucklandCity,316.67
2003-10,Franklin,222.0
2003-10,Manukau,261.5
2003-10,NorthShore,311.25
2003-10,Papakura,242.0
2003-10,Rodney,234.0
2003-10,Waitakere,267.0
2003-11,AucklandCity,316.67
2003-11,Franklin,222.0
2003-11,Manukau,261.5
2003-11,NorthShore,311.25
2003-11,Papakura,242.0
2003-11,Rodney,234.0
2003-11,Waitakere,267.0
2003-12,AucklandCity,316.67
2003-12,Franklin,222.0
2003-12,Manukau,261.5
2003-12,NorthShore,311.25
2003-12,Papakura,242.0
2003-12,Rodney,234.0
2003-12,Waitakere,267.0
2004-01,AucklandCity,323.17
2004-01,Franklin,248.0
2004-01,Manukau,278.75
2004-01,NorthShore,331.0
2004-01,Papakura,260.0
2004-01,Rodney,264.0
2004-01,Waitakere,288.5
2004-02,AucklandCity,323.17
2004-02,Franklin,248.0
2004-02,Manukau,278.75
2004-02,NorthShore,331.0
2004-02,Papakura,260.0
2004-02,Rodney,264.0
2004-02,Waitakere,288.5
2004-03,AucklandCity,323.17
2004-03,Franklin,248.0
2004-03,Manukau,278.75
2004-03,NorthShore,331.0
2004-03,Papakura,260.0
2004-03,Rodney,264.0
2004-03,Waitakere,288.5
2004-04,AucklandCity,323.17
2004-04,Franklin,248.0
2004-04,Manukau,278.75
2004-04,NorthShore,331.0
2004-04,Papakura,260.0
2004-04,Rodney,264.0
2004-04,Waitakere,288.5
2004-05,AucklandCity,323.17
2004-05,Franklin,248.0
2004-05,Manukau,278.75
2004-05,NorthShore,331.0
2004-05,Papakura,260.0
2004-05,Rodney,264.0
2004-05,Waitakere,288.5
2004-06,AucklandCity,323.17
2004-06,Franklin,248.0
2004-06,Manukau,278.75
2004-06,NorthShore,331.0
2004-06,Papakura,260.0
2004-06,Rodney,264.0
2004-06,Waitakere,288.5
2004-07,AucklandCity,323.17
2004-07,Franklin,248.0
2004-07,Manukau,278.75
2004-07,NorthShore,331.0
2004-07,Papakura,260.0
2004-07,Rodney,264.0
2004-07,Waitakere,288.5
2004-08,AucklandCity,323.17
2004-08,Franklin,248.0
2004-08,Manukau,278.75
2004-08,NorthShore,331.0
2004-08,Papakura,260.0
2004-08,Rodney,264.0
2004-08,Waitakere,288.5
2004-09,AucklandCity,323.17
2004-09,Franklin,248.0
2004-09,Manukau,278.75
2004-09,NorthShore,331.0
2004-09,Papakura,260.0
2004-09,Rodney,264.0
2004-09,Waitakere,288.5
2004-10,AucklandCity,323.17
2004-10,Franklin,248.0
2004-10,Manukau,278.75
2004-10,NorthShore,331.0
2004-10,Papakura,260.0
2004-10,Rodney,264.0
2004-10,Waitakere,288.5
2004-11,AucklandCity,323.17
2004-11,Franklin,248.0
2004-11,Manukau,278.75
2004-11,NorthShore,331.0
2004-11,Papakura,260.0
2004-11,Rodney,264.0
2004-11,Waitakere,288.5
2004-12,AucklandCity,323.17
2004-12,Franklin,248.0
2004-12,Manukau,278.75
2004-12,NorthShore,331.0
2004-12,Papakura,260.0
2004-12,Rodney,264.0
2004-12,Waitakere,288.5
2005-01,AucklandCity,323.0
2005-01,Franklin,264.0
2005-01,Manukau,282.75
2005-01,NorthShore,329.75
2005-01,Papakura,269.0
2005-01,Rodney,276.0
2005-01,Waitakere,290.5
2005-02,AucklandCity,323.0
2005-02,Franklin,264.0
2005-02,Manukau,282.75
2005-02,NorthShore,329.75
2005-02,Papakura,269.0
2005-02,Rodney,276.0
2005-02,Waitakere,290.5
2005-03,AucklandCity,323.0
2005-03,Franklin,264.0
2005-03,Manukau,282.75
2005-03,NorthShore,329.75
2005-03,Papakura,269.0
2005-03,Rodney,276.0
2005-03,Waitakere,290.5
2005-04,AucklandCity,323.0
2005-04,Franklin,264.0
2005-04,Manukau,282.75
2005-04,NorthShore,329.75
2005-04,Papakura,269.0
2005-04,Rodney,276.0
2005-04,Waitakere,290.5
2005-05,AucklandCity,323.0
2005-05,Franklin,264.0
2005-05,Manukau,282.75
2005-05,NorthShore,329.75
2005-05,Papakura,269.0
2005-05,Rodney,276.0
2005-05,Waitakere,290.5
2005-06,AucklandCity,323.0
2005-06,Franklin,264.0
2005-06,Manukau,282.75
2005-06,NorthShore,329.75
2005-06,Papakura,269.0
2005-06,Rodney,276.0
2005-06,Waitakere,290.5
2005-07,AucklandCity,323.0
2005-07,Franklin,264.0
2005-07,Manukau,282.75
2005-07,NorthShore,329.75
2005-07,Papakura,269.0
2005-07,Rodney,276.0
2005-07,Waitakere,290.5
2005-08,AucklandCity,323.0
2005-08,Franklin,264.0
2005-08,Manukau,282.75
2005-08,NorthShore,329.75
2005-08,Papakura,269.0
2005-08,Rodney,276.0
2005-08,Waitakere,290.5
2005-09,AucklandCity,323.0
2005-09,Franklin,264.0
2005-09,Manukau,282.75
2005-09,NorthShore,329.75
2005-09,Papakura,269.0
2005-09,Rodney,276.0
2005-09,Waitakere,290.5
2005-10,AucklandCity,323.0
2005-10,Franklin,264.0
2005-10,Manukau,282.75
2005-10,NorthShore,329.75
2005-10,Papakura,269.0
2005-10,Rodney,276.0
2005-10,Waitakere,290.5
2005-11,AucklandCity,323.0
2005-11,Franklin,264.0
2005-11,Manukau,282.75
2005-11,NorthShore,329.75
2005-11,Papakura,269.0
2005-11,Rodney,276.0
2005-11,Waitakere,290.5
2005-12,AucklandCity,323.0
2005-12,Franklin,264.0
2005-12,Manukau,282.75
2005-12,NorthShore,329.75
2005-12,Papakura,269.0
2005-12,Rodney,276.0
2005-12,Waitakere,290.5
2006-01,AucklandCity,324.5
2006-01,Franklin,276.0
2006-01,Manukau,291.5
2006-01,NorthShore,338.5
2006-01,Papakura,281.0
2006-01,Rodney,289.0
2006-01,Waitakere,298.5
2006-02,AucklandCity,324.5
2006-02,Franklin,276.0
2006-02,Manukau,291.5
2006-02,NorthShore,338.5
2006-02,Papakura,281.0
2006-02,Rodney,289.0
2006-02,Waitakere,298.5
2006-03,AucklandCity,324.5
2006-03,Franklin,276.0
2006-03,Manukau,291.5
2006-03,NorthShore,338.5
2006-03,Papakura,281.0
2006-03,Rodney,289.0
2006-03,Waitakere,298.5
2006-04,AucklandCity,324.5
2006-04,Franklin,276.0
2006-04,Manukau,291.5
2006-04,NorthShore,338.5
2006-04,Papakura,281.0
2006-04,Rodney,289.0
2006-04,Waitakere,298.5
2006-05,AucklandCity,324.5
2006-05,Franklin,276.0
2006-05,Manukau,291.5
2006-05,NorthShore,338.5
2006-05,Papakura,281.0
2006-05,Rodney,289.0
2006-05,Waitakere,298.5
2006-06,AucklandCity,324.5
2006-06,Franklin,276.0
2006-06,Manukau,291.5
2006-06,NorthShore,338.5
2006-06,Papakura,281.0
2006-06,Rodney,289.0
2006-06,Waitakere,298.5
2006-07,AucklandCity,324.5
2006-07,Franklin,276.0
2006-07,Manukau,291.5
2006-07,NorthShore,338.5
2006-07,Papakura,281.0
2006-07,Rodney,289.0
2006-07,Waitakere,298.5
2006-08,AucklandCity,324.5
2006-08,Franklin,276.0
2006-08,Manukau,291.5
2006-08,NorthShore,338.5
2006-08,Papakura,281.0
2006-08,Rodney,289.0
2006-08,Waitakere,298.5
2006-09,AucklandCity,324.5
2006-09,Franklin,276.0
2006-09,Manukau,291.5
2006-09,NorthShore,338.5
2006-09,Papakura,281.0
2006-09,Rodney,289.0
2006-09,Waitakere,298.5
2006-10,AucklandCity,324.5
2006-10,Franklin,276.0
2006-10,Manukau,291.5
2006-10,NorthShore,338.5
2006-10,Papakura,281.0
2006-10,Rodney,289.0
2006-10,Waitakere,298.5
2006-11,AucklandCity,324.5
2006-11,Franklin,276.0
2006-11,Manukau,291.5
2006-11,NorthShore,338.5
2006-11,Papakura,281.0
2006-11,Rodney,289.0
2006-11,Waitakere,298.5
2006-12,AucklandCity,324.5
2006-12,Franklin,276.0
2006-12,Manukau,291.5
2006-12,NorthShore,338.5
2006-12,Papakura,281.0
2006-12,Rodney,289.0
2006-12,Waitakere,298.5
2007-01,AucklandCity,338.83
2007-01,Franklin,291.0
2007-01,Manukau,309.0
2007-01,NorthShore,356.5
2007-01,Papakura,295.0
2007-01,Rodney,307.0
2007-01,Waitakere,309.5
2007-02,AucklandCity,338.83
2007-02,Franklin,291.0
2007-02,Manukau,309.0
2007-02,NorthShore,356.5
2007-02,Papakura,295.0
2007-02,Rodney,307.0
2007-02,Waitakere,309.5
2007-03,AucklandCity,338.83
2007-03,Franklin,291.0
2007-03,Manukau,309.0
2007-03,NorthShore,356.5
2007-03,Papakura,295.0
2007-03,Rodney,307.0
2007-03,Waitakere,309.5
2007-04,AucklandCity,338.83
2007-04,Franklin,291.0
2007-04,Manukau,309.0
2007-04,NorthShore,356.5
2007-04,Papakura,295.0
2007-04,Rodney,307.0
2007-04,Waitakere,309.5
2007-05,AucklandCity,338.83
2007-05,Franklin,291.0
2007-05,Manukau,309.0
2007-05,NorthShore,356.5
2007-05,Papakura,295.0
2007-05,Rodney,307.0
2007-05,Waitakere,309.5
2007-06,AucklandCity,338.83
2007-06,Franklin,291.0
2007-06,Manukau,309.0
2007-06,NorthShore,356.5
2007-06,Papakura,295.0
2007-06,Rodney,307.0
2007-06,Waitakere,309.5
2007-07,AucklandCity,338.83
2007-07,Franklin,291.0
2007-07,Manukau,309.0
2007-07,NorthShore,356.5
2007-07,Papakura,295.0
2007-07,Rodney,307.0
2007-07,Waitakere,309.5
2007-08,AucklandCity,338.83
2007-08,Franklin,291.0
2007-08,Manukau,309.0
2007-08,NorthShore,356.5
2007-08,Papakura,295.0
2007-08,Rodney,307.0
2007-08,Waitakere,309.5
2007-09,AucklandCity,338.83
2007-09,Franklin,291.0
2007-09,Manukau,309.0
2007-09,NorthShore,356.5
2007-09,Papakura,295.0
2007-09,Rodney,307.0
2007-09,Waitakere,309.5
2007-10,AucklandCity,338.83
2007-10,Franklin,291.0
2007-10,Manukau,309.0
2007-10,NorthShore,356.5
2007-10,Papakura,295.0
2007-10,Rodney,307.0
2007-10,Waitakere,309.5
2007-11,AucklandCity,338.83
2007-11,Franklin,291.0
2007-11,Manukau,309.0
2007-11,NorthShore,356.5
2007-11,Papakura,295.0
2007-11,Rodney,307.0
2007-11,Waitakere,309.5
2007-12,AucklandCity,338.83
2007-12,Franklin,291.0
2007-12,Manukau,309.0
2007-12,NorthShore,356.5
2007-12,Papakura,295.0
2007-12,Rodney,307.0
2007-12,Waitakere,309.5
2008-01,AucklandCity,357.83
2008-01,Franklin,316.0
2008-01,Manukau,326.5
2008-01,NorthShore,381.25
2008-01,Papakura,314.0
2008-01,Rodney,327.0
2008-01,Waitakere,328.5
2008-02,AucklandCity,357.83
2008-02,Franklin,316.0
2008-02,Manukau,326.5
2008-02,NorthShore,381.25
2008-02,Papakura,314.0
2008-02,Rodney,327.0
2008-02,Waitakere,328.5
2008-03,AucklandCity,357.83
2008-03,Franklin,316.0
2008-03,Manukau,326.5
2008-03,NorthShore,381.25
2008-03,Papakura,314.0
2008-03,Rodney,327.0
2008-03,Waitakere,328.5
2008-04,AucklandCity,357.83
2008-04,Franklin,316.0
2008-04,Manukau,326.5
2008-04,NorthShore,381.25
2008-04,Papakura,314.0
2008-04,Rodney,327.0
2008-04,Waitakere,328.5
2008-05,AucklandCity,357.83
2008-05,Franklin,316.0
2008-05,Manukau,326.5
2008-05,NorthShore,381.25
2008-05,Papakura,314.0
2008-05,Rodney,327.0
2008-05,Waitakere,328.5
2008-06,AucklandCity,357.83
2008-06,Franklin,316.0
2008-06,Manukau,326.5
2008-06,NorthShore,381.25
2008-06,Papakura,314.0
2008-06,Rodney,327.0
2008-06,Waitakere,328.5
2008-07,AucklandCity,357.83
2008-07,Franklin,316.0
2008-07,Manukau,326.5
2008-07,NorthShore,381.25
2008-07,Papakura,314.0
2008-07,Rodney,327.0
2008-07,Waitakere,328.5
2008-08,AucklandCity,357.83
2008-08,Franklin,316.0
2008-08,Manukau,326.5
2008-08,NorthShore,381.25
2008-08,Papakura,314.0
2008-08,Rodney,327.0
2008-08,Waitakere,328.5
2008-09,AucklandCity,357.83
2008-09,Franklin,316.0
2008-09,Manukau,326.5
2008-09,NorthShore,381.25
2008-09,Papakura,314.0
2008-09,Rodney,327.0
2008-09,Waitakere,328.5
2008-10,AucklandCity,357.83
2008-10,Franklin,316.0
2008-10,Manukau,326.5
2008-10,NorthShore,381.25
2008-10,Papakura,314.0
2008-10,Rodney,327.0
2008-10,Waitakere,328.5
2008-11,AucklandCity,357.83
2008-11,Franklin,316.0
2008-11,Manukau,326.5
2008-11,NorthShore,381.25
2008-11,Papakura,314.0
2008-11,Rodney,327.0
2008-11,Waitakere,328.5
2008-12,AucklandCity,357.83
2008-12,Franklin,316.0
2008-12,Manukau,326.5
2008-12,NorthShore,381.25
2008-12,Papakura,314.0
2008-12,Rodney,327.0
2008-12,Waitakere,328.5
2009-01,AucklandCity,365.83
2009-01,Franklin,317.0
2009-01,Manukau,334.5
2009-01,NorthShore,386.75
2009-01,Papakura,318.0
2009-01,Rodney,332.0
2009-01,Waitakere,333.5
2009-02,AucklandCity,365.83
2009-02,Franklin,317.0
2009-02,Manukau,334.5
2009-02,NorthShore,386.75
2009-02,Papakura,318.0
2009-02,Rodney,332.0
2009-02,Waitakere,333.5
2009-03,AucklandCity,365.83
2009-03,Franklin,317.0
2009-03,Manukau,334.5
