Month,District,Median_Price
2021-07,AucklandCity,1300000
2021-07,Franklin,880000
2021-07,Manukau,1070000
2021-07,NorthShore,1370000
2021-07,Papakura,910000
2021-07,Rodney,1218000
2021-07,Waitakere,1100000
2021-08,AucklandCity,1312000
2021-08,Franklin,950000
2021-08,Manukau,1157000
2021-08,NorthShore,1295000
2021-08,Papakura,935000
2021-08,Rodney,1300000
2021-08,Waitakere,1120000
2021-09,AucklandCity,1285000
2021-09,Franklin,857000
2021-09,Manukau,1095000
2021-09,NorthShore,1330000
2021-09,Papakura,1053000
2021-09,Rodney,1255000
2021-09,Waitakere,1099000
2021-10,AucklandCity,1410000
2021-10,Franklin,1000000
2021-10,Manukau,1163000
2021-10,NorthShore,1465000
2021-10,Papakura,1088000
2021-10,Rodney,1315000
2021-10,Waitakere,1122000
2021-11,AucklandCity,1540000
2021-11,Franklin,973000
2021-11,Manukau,1230000
2021-11,NorthShore,1550000
2021-11,Papakura,1130000
2021-11,Rodney,1315000
2021-11,Waitakere,1190000
2021-12,AucklandCity,1405000
2021-12,Franklin,995000
2021-12,Manukau,1210000
2021-12,NorthShore,1446000
2021-12,Papakura,1010000
2021-12,Rodney,1301000
2021-12,Waitakere,1170000
2022-01,AucklandCity,1312500
2022-01,Franklin,1050000
2022-01,Manukau,1210000
2022-01,NorthShore,1355000
2022-01,Papakura,865000
2022-01,Rodney,1345000
2022-01,Waitakere,1092000
2022-02,AucklandCity,1250000
2022-02,Franklin,1015000
2022-02,Manukau,1149000
2022-02,NorthShore,1390000
2022-02,Papakura,970000
2022-02,Rodney,1275000
2022-02,Waitakere,1079000
2022-03,AucklandCity,1315000
2022-03,Franklin,997000
2022-03,Manukau,1135000
2022-03,NorthShore,1380000
2022-03,Papakura,930000
2022-03,Rodney,1300000
2022-03,Waitakere,1100000
2022-04,AucklandCity,1310000
2022-04,Franklin,940000
2022-04,Manukau,1100000
2022-04,NorthShore,1450000
2022-04,Papakura,935000
2022-04,Rodney,1350000
2022-04,Waitakere,1069000
2022-05,AucklandCity,1112000
2022-05,Franklin,980000
2022-05,Manukau,1076000
2022-05,NorthShore,1310000
2022-05,Papakura,888000
2022-05,Rodney,1290000
2022-05,Waitakere,1050000
2022-06,AucklandCity,1220000
2022-06,Franklin,900000
2022-06,Manukau,1107000
2022-06,NorthShore,1340000
2022-06,Papakura,912000
2022-06,Rodney,1310000
2022-06,Waitakere,1000000
2022-07,AucklandCity,1203350
2022-07,Franklin,940000
2022-07,Manukau,1020000
2022-07,NorthShore,1398000
2022-07,Papakura,950000
2022-07,Rodney,1250000
2022-07,Waitakere,1000000
2022-08,AucklandCity,1121000
2022-08,Franklin,960000
2022-08,Manukau,1012000
2022-08,NorthShore,1285000
2022-08,Papakura,930000
2022-08,Rodney,1180000
2022-08,Waitakere,970000
2022-09,AucklandCity,1140000
2022-09,Franklin,870000
2022-09,Manukau,1050000
2022-09,NorthShore,950000
2022-09,Papakura,875000
2022-09,Rodney,1200000
2022-09,Waitakere,998000
2022-10,AucklandCity,1220000
2022-10,Franklin,947000
2022-10,Manukau,980000
2022-10,NorthShore,1195000
2022-10,Papakura,900000
2022-10,Rodney,1225000
2022-10,Waitakere,990000
2022-11,AucklandCity,1200000
2022-11,Franklin,900000
2022-11,Manukau,1050000
2022-11,NorthShore,1290070
2022-11,Papakura,850000
2022-11,Rodney,1235000
2022-11,Waitakere,915000
2022-12,AucklandCity,1188000
2022-12,Franklin,812000
2022-12,Manukau,950000
2022-12,NorthShore,1280000
2022-12,Papakura,772000
2022-12,Rodney,1200000
