,coef,std_err,t_stat,p_value
const,11.355262581541064,0.17914810343044543,63.38477697560312,2.936016309884282e-188
weeklyrent,0.0035553634992790584,0.00014402202708559746,24.68624814706974,2.657950872210912e-77
CGPI_Dwelling_lag1,0.0027642777577660867,0.0005382436518126455,5.135736851622525,4.785512905728368e-07
OCR_lag1,-0.08013938591274777,0.01693450354272328,-4.732313865037012,3.2828389332422927e-06
CGPI_Dwelling_lag9,-0.00249753851712085,0.0006611170287508604,-3.7777555387429578,0.0001873266488640712
unemployment_rate_lag6,0.13656463883582734,0.04492883131511677,3.039576922845059,0.002556163644998953
log_sales_count,0.0782828473722175,0.012070824581480028,6.4852940943508495,3.1887515750573673e-10
unemployment_rate_lag9,-0.21268260078048343,0.04670024075486924,-4.5542078015584515,7.379113963348712e-06
unemployment_rate_lag1,-0.11534644774276794,0.05022520460684361,-2.2965849247541144,0.022260943832497604
log_sales_count_lag1,0.050537307959505666,0.012235103291582158,4.130517475424642,4.578924697764099e-05
log_sales_count_lag12,0.03783180877831619,0.012365868792261678,3.059373297086138,0.00239746373871792
unemployment_rate_lag3,0.0855435450335029,0.0542750892801746,1.5761106276936134,0.11594697371864646
log_Consents_lag1,-0.03315008676238447,0.01196666432531703,-2.770202778417638,0.005915504190788381
log_Consents_lag9,-0.02289608205688922,0.01085908923812631,-2.1084716733426387,0.0357345564109679
log_sales_count_lag3,0.026160283832576965,0.011622063047189934,2.250915670165994,0.02504078068609909
log_sales_count_lag9,0.023736504642554373,0.011132448245682987,2.1321908818897106,0.03372033483892733
log_Consents,-0.01684872491716686,0.01210774164633197,-1.391566272994532,0.16497985698913178
OCR_lag12,0.04223757706693012,0.011570955644379837,3.6503101701409992,0.0003038752592204783
Net_migration_monthly,2.2619803735348104e-05,9.620988477115533e-06,2.3510893697826925,0.019299307880006108
log_Consents_lag6,-0.0067962584881691625,0.011066297104059975,-0.614140251636274,0.5395407336544764
log_Consents_lag3,-0.011373287206375714,0.011635522625839077,-0.9774625147579521,0.32904766210311287
log_sales_count_lag6,-0.010337697697652838,0.011374770837305181,-0.9088268981867209,0.3640968173515291
log_Consents_lag12,-0.006358795725377747,0.011020251726742002,-0.5770100250929245,0.5643213823237883
