mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__colsample_bytree,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.6056182384490967,0.11357190801802956,0.006973934173583984,0.0006137537459399263,0.8,0.03,3,800,0.0,1.0,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.03, 'xgb__max_depth': 3, 'xgb__n_estimators': 800, 'xgb__reg_alpha': 0.0, 'xgb__reg_lambda': 1.0, 'xgb__subsample': 0.8}",-0.10453919617727597,-0.06971521359819417,-0.11006491468266329,-0.09807308964440696,-0.05356795995688873,-0.08719207481188582,0.021810583141539445,1,-0.0036279972521337765,-0.005344486843698823,-0.006637651352891111,-0.007965023903023536,-0.009653202491250366,-0.0066456723685995225,0.002077760194318866
0.9120039939880371,0.18269603091271852,0.00855097770690918,0.00034605336425733385,0.8,0.03,3,800,0.0,5.0,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.03, 'xgb__max_depth': 3, 'xgb__n_estimators': 800, 'xgb__reg_alpha': 0.0, 'xgb__reg_lambda': 5.0, 'xgb__subsample': 0.8}",-0.10272268901417962,-0.07329558967532313,-0.10751541810006938,-0.09995260014911693,-0.05322004537427821,-0.08734126846259346,0.020804658402988938,2,-0.0056933457976502825,-0.007707496191119239,-0.009243982787322793,-0.011025413031305978,-0.012879072677528764,-0.009309862096985411,0.002503337208591419
0.3171952724456787,0.03701963630874861,0.005586671829223633,0.0004463774335892821,0.8,0.03,3,400,0.0,1.0,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.03, 'xgb__max_depth': 3, 'xgb__n_estimators': 400, 'xgb__reg_alpha': 0.0, 'xgb__reg_lambda': 1.0, 'xgb__subsample': 0.8}",-0.10587554753564149,-0.07073953116526893,-0.11172129687928584,-0.09918192276777588,-0.05386053490325501,-0.08827576665024542,0.022227537638606545,3,-0.010220096151570355,-0.013033136568894361,-0.015226599262270804,-0.017568427650520302,-0.01964643291216952,-0.015138938509085067,0.0033123109648470596
0.291133975982666,0.03869579638108411,0.0049075126647949215,0.00045457933440452657,0.8,0.03,3,400,0.0,5.0,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.03, 'xgb__max_depth': 3, 'xgb__n_estimators': 400, 'xgb__reg_alpha': 0.0, 'xgb__reg_lambda': 5.0, 'xgb__subsample': 0.8}",-0.10313307185029812,-0.0734818863162032,-0.10828724978925187,-0.10334043431571763,-0.05320059574363154,-0.08828864760302046,0.021434872833645587,4,-0.013089986442967598,-0.016302165948622507,-0.018633521960418797,-0.021572841248655352,-0.02343886288819299,-0.018607475697771447,0.003684929148798748
0.9702229499816895,0.179319230387808,0.009733772277832032,0.003448243864521681,0.8,0.05,3,800,0.0,1.0,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.05, 'xgb__max_depth': 3, 'xgb__n_estimators': 800, 'xgb__reg_alpha': 0.0, 'xgb__reg_lambda': 1.0, 'xgb__subsample': 0.8}",-0.1079108941526075,-0.06826197717954942,-0.11187082631252444,-0.10126126090283226,-0.052696937832107056,-0.08840037927592413,0.023567839616731232,5,-0.0010878227934204457,-0.0018178055224413179,-0.0025449916186291587,-0.003296040297858631,-0.004306174023442223,-0.002610566851158355,0.001122183374465887
1.0657570838928223,0.18855267040062362,0.01417841911315918,0.010766725934737471,0.8,0.03,3,800,0.1,5.0,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.03, 'xgb__max_depth': 3, 'xgb__n_estimators': 800, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 5.0, 'xgb__subsample': 0.8}",-0.10273675925487008,-0.07483904291853548,-0.10763367343285597,-0.10202636872195395,-0.05583108786421543,-0.08861338643848618,0.02002778425095311,6,-0.012905590258509193,-0.014059464984601209,-0.015159524318942212,-0.016272355121892405,-0.017837916739802763,-0.015246970284749556,0.0017125591177701844
0.9135575771331788,0.12544700346157173,0.008004999160766602,0.0002537351108744372,0.8,0.05,3,800,0.0,5.0,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.05, 'xgb__max_depth': 3, 'xgb__n_estimators': 800, 'xgb__reg_alpha': 0.0, 'xgb__reg_lambda': 5.0, 'xgb__subsample': 0.8}",-0.10305654111405936,-0.07461061805478253,-0.10678121385292834,-0.1022087891177226,-0.05642109852730337,-0.08861565213335924,0.01977842532483993,7,-0.0020723227966475935,-0.0030962905007978834,-0.0042659862783046435,-0.005132715975085026,-0.006472242829744885,-0.004207911676116007,0.0015350747684481061
1.2184887409210206,0.22721378706230824,0.010958051681518555,0.003530667284780336,1.0,0.03,3,800,0.0,5.0,0.8,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.03, 'xgb__max_depth': 3, 'xgb__n_estimators': 800, 'xgb__reg_alpha': 0.0, 'xgb__reg_lambda': 5.0, 'xgb__subsample': 0.8}",-0.10482888864191368,-0.07320405655382516,-0.10566626689985359,-0.1075533731463033,-0.05269241785195202,-0.08878900061876956,0.022091064122032853,8,-0.005438527730787778,-0.007384804188069528,-0.008954984989110328,-0.010501773930387901,-0.012330084810209575,-0.008922035129713022,0.002392043718774292
0.49789958000183104,0.057956731765950814,0.008296489715576172,0.0007543050064887737,0.8,0.05,3,400,0.0,1.0,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.05, 'xgb__max_depth': 3, 'xgb__n_estimators': 400, 'xgb__reg_alpha': 0.0, 'xgb__reg_lambda': 1.0, 'xgb__subsample': 0.8}",-0.10813944302225613,-0.06859328103760111,-0.11267984658548454,-0.10204203862992224,-0.052525396535587895,-0.08879600116217037,0.02384856802496079,9,-0.00510829391549735,-0.007105591351242228,-0.008595458169654678,-0.010609819602401718,-0.012253784576591403,-0.008734589523077475,0.0025188979370344504
1.0313259601593017,0.22306723407635695,0.008550453186035156,0.0002848709709898019,0.8,0.05,3,800,0.1,5.0,0.8,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.05, 'xgb__max_depth': 3, 'xgb__n_estimators': 800, 'xgb__reg_alpha': 0.1, 'xgb__reg_lambda': 5.0, 'xgb__subsample': 0.8}",-0.10322045317120469,-0.07706033425778355,-0.10672028764679779,-0.10314492657319314,-0.05401129791405009,-0.08883145991260585,0.020410446802216868,10,-0.010907430048216784,-0.011426447684911797,-0.011701973504248236,-0.012012418798549923,-0.013163887267462437,-0.011842431460677835,0.0007539416058091888
