district,anchor_month,horizon_months,current_price_base,forecast_price_base_h,expected_return_base,volatility_base,downside_max_drawdown_low,scenario_spread_high_minus_low,stability_score,expected_return_base_pct,downside_max_drawdown_low_pct
AucklandCity,2025-07,12,1088535.3555529444,1121585.957329868,0.030362451351095533,0.003654550027465616,-9.563843398774363e-05,49284.23692298005,8.308123058354056,3.04,-0.01
Rodney,2025-07,12,1076599.1064836744,1131144.1066480663,0.05066417001082572,0.0073993111539935085,-0.0030677731535577735,60539.533939803485,6.8471468433222435,5.07,-0.31
Waitakere,2025-07,12,989383.2609323802,1025916.9827501692,0.036925752901216635,0.0055780868745081025,-0.0033649530981476605,54687.0840994633,6.619788062098422,3.69,-0.34
Manukau,2025-07,12,1032007.05075822,1067515.732103398,0.034407401886537174,0.005323356061268789,-0.0025844999696748028,51129.84154274245,6.463479333436957,3.44,-0.26
NorthShore,2025-07,12,1137257.861972393,1154379.4064626105,0.015055112004697745,0.005568766425958446,-0.005360189029800622,73184.54024370573,2.703491375490146,1.51,-0.54
Papakura,2025-07,12,993629.9987496242,916808.6996462538,-0.07731378802979146,0.01227561354144562,-0.07384175334265453,25163.14388090279,-6.2981608022084,-7.73,-7.38
Franklin,2025-07,12,1015439.1144252642,921571.260571275,-0.09244065204945165,0.013151036001301304,-0.08787867900420876,27795.64850725606,-7.029153599785187,-9.24,-8.79
