Month,Scenario,District,Net_migration_monthly,weeklyrent,Consents_forecast,sales_count_forecast,CPI,CGPI_Dwelling,OCR,2YearFixedRate,unemployment_rate
2025-09-01,Base,AucklandCity,174.22183421516755,580.6789587852495,356.84126170492686,555.3447844861906,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-09-01,Base,Franklin,174.22183421516755,580.6789587852495,113.54921670012754,86.47810833215185,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-09-01,Base,Manukau,174.22183421516755,580.6789587852495,349.76261711132366,484.1377850926124,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-09-01,Base,NorthShore,174.22183421516755,580.6789587852495,235.0497876012888,330.99037830863,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-09-01,Base,Papakura,174.22183421516755,580.6789587852495,79.61050974449581,81.50408999215922,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-09-01,Base,Rodney,174.22183421516755,580.6789587852495,79.9983806811317,199.57157795724663,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-09-01,Base,Waitakere,174.22183421516755,580.6789587852495,167.26934142418446,329.768689593544,1328.0765114904907,1095.093185200983,2.6645069274914936,5.346254428301339,5.9784588322331285
2025-10-01,Base,AucklandCity,174.22183421516755,580.6789587852495,304.2675198815332,626.348470871966,1332.676046112934,1095.6084700694585,2.461802271089724,5.262406998702709,6.037420453100641
2025-10-01,Base,Franklin,174.22183421516755,580.6789587852495,96.8199091796944,97.5347791694088,1332.676046112934,1095.6084700694585,2.461802271089724,5.262406998702709,6.037420453100641
2025-10-01,Base,Manukau,174.22183421516755,580.6789587852495,298.2317783186658,546.0372904458936,1332.676046112934,1095.6084700694585,2.461802271089724,5.262406998702709,6.037420453100641
2025-10-01,Base,NorthShore,174.22183421516755,580.6789587852495,200.41969244370557,373.3092001912896,1332.676046112934,1095.6084700694585,2.461802271089724,5.262406998702709,6.037420453100641
2025-10-01,Base,Papakura,174.22183421516755,580.6789587852495,67.8814222344398,91.92480700729342,1332.676046112934,1095.6084700694585,2.461802271089724,5.262406998702709,6.037420453100641
2025-10-01,Base,Rodney,174.22183421516755,580.6789587852495,68.2121477995285,225.08783043434727,1332.676046112934,1095.6084700694585,2.461802271089724,5.262406998702709,6.037420453100641
2025-10-01,Base,Waitakere,174.22183421516755,580.6789587852495,142.62539994446868,371.93131229182256,1332.676046112934,1095.6084700694585,2.461802271089724,5.262406998702709,6.037420453100641
2025-11-01,Base,AucklandCity,174.22183421516755,580.6789587852495,331.05567802203296,681.6465544918569,1337.3418829735754,1096.0874564118303,2.255486727862391,5.177327881419138,6.096066728538998
2025-11-01,Base,Franklin,174.22183421516755,580.6789587852495,105.3440758053806,106.14577867715737,1337.3418829735754,1096.0874564118303,2.255486727862391,5.177327881419138,6.096066728538998
2025-11-01,Base,Manukau,174.22183421516755,580.6789587852495,324.48854093083503,594.2449849655596,1337.3418829735754,1096.0874564118303,2.255486727862391,5.177327881419138,6.096066728538998
2025-11-01,Base,NorthShore,174.22183421516755,580.6789587852495,218.0649357406,406.26734462407495,1337.3418829735754,1096.0874564118303,2.255486727862391,5.177327881419138,6.096066728538998
2025-11-01,Base,Papakura,174.22183421516755,580.6789587852495,73.8578020804589,100.04052198230568,1337.3418829735754,1096.0874564118303,2.255486727862391,5.177327881419138,6.096066728538998
2025-11-01,Base,Rodney,174.22183421516755,580.6789587852495,74.2176452087438,244.9600361601,1337.3418829735754,1096.0874564118303,2.255486727862391,5.177327881419138,6.096066728538998
2025-11-01,Base,Waitakere,174.22183421516755,580.6789587852495,155.18234907282795,404.767807892006,1337.3418829735754,1096.0874564118303,2.255486727862391,5.177327881419138,6.096066728538998
2025-12-01,Base,AucklandCity,174.22183421516755,580.6789587852495,252.55581074699805,596.3836519965334,1342.074608442348,1096.5301037023214,2.0456591647274736,5.091058885717173,6.154365963618709
2025-12-01,Base,Franklin,174.22183421516755,580.6789587852495,80.36490608280835,92.86866736778192,1342.074608442348,1096.5301037023214,2.0456591647274736,5.091058885717173,6.154365963618709
2025-12-01,Base,Manukau,174.22183421516755,580.6789587852495,247.5458721098973,519.9145979378956,1342.074608442348,1096.5301037023214,2.0456591647274736,5.091058885717173,6.154365963618709
2025-12-01,Base,NorthShore,174.22183421516755,580.6789587852495,166.35741447030523,355.4499044661929,1342.074608442348,1096.5301037023214,2.0456591647274736,5.091058885717173,6.154365963618709
2025-12-01,Base,Papakura,174.22183421516755,580.6789587852495,56.344652343284,87.5270790328035,1342.074608442348,1096.5301037023214,2.0456591647274736,5.091058885717173,6.154365963618709
2025-12-01,Base,Rodney,174.22183421516755,580.6789587852495,56.61916952887864,214.3195179315009,1342.074608442348,1096.5301037023214,2.0456591647274736,5.091058885717173,6.154365963618709
2025-12-01,Base,Waitakere,174.22183421516755,580.6789587852495,118.38553628765531,354.1379354014612,1342.074608442348,1096.5301037023214,2.0456591647274736,5.091058885717173,6.154365963618709
2026-01-01,Base,AucklandCity,174.22183421516755,580.6789587852495,218.4585857853777,390.5224365061831,1346.8748185684644,1096.9363751052645,1.832420589338812,5.003642559471721,6.21228656427971
2026-01-01,Base,Franklin,174.22183421516755,580.6789587852495,69.51494672681449,60.81202617498853,1346.8748185684644,1096.9363751052645,1.832420589338812,5.003642559471721,6.21228656427971
2026-01-01,Base,Manukau,174.22183421516755,580.6789587852495,214.12503231735252,340.44916369206527,1346.8748185684644,1096.9363751052645,1.832420589338812,5.003642559471721,6.21228656427971
2026-01-01,Base,NorthShore,174.22183421516755,580.6789587852495,143.89772063689009,232.7548085587606,1346.8748185684644,1096.9363751052645,1.832420589338812,5.003642559471721,6.21228656427971
2026-01-01,Base,Papakura,174.22183421516755,580.6789587852495,48.73763557874861,57.31426079459058,1346.8748185684644,1096.9363751052645,1.832420589338812,5.003642559471721,6.21228656427971
2026-01-01,Base,Rodney,174.22183421516755,580.6789587852495,48.97509056329799,140.34016535035207,1346.8748185684644,1096.9363751052645,1.832420589338812,5.003642559471721,6.21228656427971
2026-01-01,Base,Waitakere,174.22183421516755,580.6789587852495,102.4024620868958,231.89570828989085,1346.8748185684644,1096.9363751052645,1.832420589338812,5.003642559471721,6.21228656427971
2026-02-01,Base,AucklandCity,174.22183421516755,580.6789587852495,277.04488185203303,504.4424269232432,1351.7431192044478,1097.3062374764877,1.6158741016193583,4.915122168446694,6.269797054435368
2026-02-01,Base,Franklin,174.22183421516755,580.6789587852495,88.15748821976376,78.55160984929815,1351.7431192044478,1097.3062374764877,1.6158741016193583,4.915122168446694,6.269797054435368
