Month,District,2YearFixedRate
2008-08,Franklin,8.96
2008-08,Manukau,8.96
2008-08,NorthShore,8.96
2008-08,Papakura,8.96
2008-08,Rodney,8.96
2008-08,Waitakere,8.96
2008-09,AucklandCity,8.62
2008-09,Franklin,8.62
2008-09,Manukau,8.62
2008-09,NorthShore,8.62
2008-09,Papakura,8.62
2008-09,Rodney,8.62
2008-09,Waitakere,8.62
2008-10,AucklandCity,8.24
2008-10,Franklin,8.24
2008-10,Manukau,8.24
2008-10,NorthShore,8.24
2008-10,Papakura,8.24
2008-10,Rodney,8.24
2008-10,Waitakere,8.24
2008-11,AucklandCity,7.46
2008-11,Franklin,7.46
2008-11,Manukau,7.46
2008-11,NorthShore,7.46
2008-11,Papakura,7.46
2008-11,Rodney,7.46
2008-11,Waitakere,7.46
2008-12,AucklandCity,7.1
2008-12,Franklin,7.1
2008-12,Manukau,7.1
2008-12,NorthShore,7.1
2008-12,Papakura,7.1
2008-12,Rodney,7.1
2008-12,Waitakere,7.1
2009-01,AucklandCity,6.31
2009-01,Franklin,6.31
2009-01,Manukau,6.31
2009-01,NorthShore,6.31
2009-01,Papakura,6.31
2009-01,Rodney,6.31
2009-01,Waitakere,6.31
2009-02,AucklandCity,5.93
2009-02,Franklin,5.93
2009-02,Manukau,5.93
2009-02,NorthShore,5.93
2009-02,Papakura,5.93
2009-02,Rodney,5.93
2009-02,Waitakere,5.93
2009-03,AucklandCity,6.17
2009-03,Franklin,6.17
2009-03,Manukau,6.17
2009-03,NorthShore,6.17
2009-03,Papakura,6.17
2009-03,Rodney,6.17
2009-03,Waitakere,6.17
2009-04,AucklandCity,6.24
2009-04,Franklin,6.24
2009-04,Manukau,6.24
2009-04,NorthShore,6.24
2009-04,Papakura,6.24
2009-04,Rodney,6.24
2009-04,Waitakere,6.24
2009-05,AucklandCity,6.23
2009-05,Franklin,6.23
2009-05,Manukau,6.23
2009-05,NorthShore,6.23
2009-05,Papakura,6.23
2009-05,Rodney,6.23
2009-05,Waitakere,6.23
2009-06,AucklandCity,6.26
2009-06,Franklin,6.26
2009-06,Manukau,6.26
2009-06,NorthShore,6.26
2009-06,Papakura,6.26
2009-06,Rodney,6.26
2009-06,Waitakere,6.26
2009-07,AucklandCity,6.3
2009-07,Franklin,6.3
2009-07,Manukau,6.3
2009-07,NorthShore,6.3
2009-07,Papakura,6.3
2009-07,Rodney,6.3
2009-07,Waitakere,6.3
2009-08,AucklandCity,6.52
2009-08,Franklin,6.52
2009-08,Manukau,6.52
2009-08,NorthShore,6.52
2009-08,Papakura,6.52
2009-08,Rodney,6.52
2009-08,Waitakere,6.52
2009-09,AucklandCity,6.62
2009-09,Franklin,6.62
2009-09,Manukau,6.62
2009-09,NorthShore,6.62
2009-09,Papakura,6.62
2009-09,Rodney,6.62
2009-09,Waitakere,6.62
2009-10,AucklandCity,7.08
2009-10,Franklin,7.08
2009-10,Manukau,7.08
2009-10,NorthShore,7.08
2009-10,Papakura,7.08
2009-10,Rodney,7.08
2009-10,Waitakere,7.08
2009-11,AucklandCity,7.12
2009-11,Franklin,7.12
2009-11,Manukau,7.12
2009-11,NorthShore,7.12
2009-11,Papakura,7.12
2009-11,Rodney,7.12
2009-11,Waitakere,7.12
2009-12,AucklandCity,7.22
2009-12,Franklin,7.22
2009-12,Manukau,7.22
2009-12,NorthShore,7.22
2009-12,Papakura,7.22
2009-12,Rodney,7.22
2009-12,Waitakere,7.22
2010-01,AucklandCity,7.22
2010-01,Franklin,7.22
2010-01,Manukau,7.22
2010-01,NorthShore,7.22
2010-01,Papakura,7.22
2010-01,Rodney,7.22
2010-01,Waitakere,7.22
2010-02,AucklandCity,7.18
2010-02,Franklin,7.18
2010-02,Manukau,7.18
2010-02,NorthShore,7.18
2010-02,Papakura,7.18
2010-02,Rodney,7.18
2010-02,Waitakere,7.18
2010-03,AucklandCity,7.15
2010-03,Franklin,7.15
2010-03,Manukau,7.15
2010-03,NorthShore,7.15
2010-03,Papakura,7.15
2010-03,Rodney,7.15
2010-03,Waitakere,7.15
2010-04,AucklandCity,7.08
2010-04,Franklin,7.08
2010-04,Manukau,7.08
