model,split,RMSE_log,MAE_log,R2_log,RMSE_NZD,MAE_NZD,R2_NZD
XGBoost,train_in_sample,0.011449116371234528,0.008938404412688165,0.9962721147510997,11931.167593665004,9165.94702862831,0.9960779834916321
RandomForest,train_in_sample,0.02191619049778146,0.017143043731787665,0.9863400619540045,23387.01222043849,17812.587775173302,0.9849307023840818
SVR,train_in_sample,0.043413651673350734,0.03510622460471873,0.9463992050176852,45077.917849256206,35901.25449103951,0.9440150595558408
MLR_baseline,train_in_sample,0.0647442988043294,0.051165850044886954,0.8807875373302314,67328.87594575905,52511.19906816533,0.8751046547076228
