,skewness
sales_count,1.21262908865911
Consents,1.13347123891379
OCR,0.9201370731419537
Median_Price,0.39918447170126325
CGPI_Dwelling,0.33399207490693184
unemployment_rate,0.2002472103391966
weeklyrent,-0.09910013861108184
RealMortgageRate,-0.48740513326159013
Net_migration_monthly,-1.2074727888449037
