District,n,mean,median,std,min,max,q25,q75,iqr,cv
AucklandCity,63,1134442.0476190476,1121000.0,156725.80457297422,855000,1540000,992500.0,1250000.0,257500.0,0.1381523233398377
Franklin,63,811519.0476190476,820000.0,116558.76388237823,638500,1050000,695500.0,900000.0,204500.0,0.14363034881849693
Manukau,63,965888.8888888889,965000.0,116136.19800671627,770000,1230000,860000.0,1050500.0,190500.0,0.12023763741636333
NorthShore,63,1183027.3174603174,1203000.0,161193.13581997913,920000,1550000,1010000.0,1307500.0,297500.0,0.13625478756147663
Papakura,63,805195.9047619047,802342.0,114703.6959150463,650000,1130000,700000.0,872500.0,172500.0,0.14245439555354422
Rodney,63,1067190.4761904762,1115000.0,169557.2134045365,818000,1350000,892500.0,1200000.0,307500.0,0.1588818652222242
Waitakere,63,918007.9365079365,905000.0,119387.26265554044,715000,1190000,825250.0,999000.0,173750.0,0.1300503600324901
