mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.5340081214904786,0.1792187380835278,0.2655637264251709,0.03420999959933472,20,sqrt,1,2,600,"{'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 600}",-0.1159764798134435,-0.09131822783463343,-0.11549600303465901,-0.09847985865892762,-0.06839517731301137,-0.09793314933093498,0.017610016885526367,1,-0.02140057980976124,-0.022489299781855297,-0.022016668909197734,-0.02297608323978737,-0.023249880639091766,-0.022426502475938682,0.0006639902087507729
1.6091434478759765,0.055718440362187004,0.1626898765563965,0.014870135733581353,,sqrt,1,2,600,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 600}",-0.11597647981344358,-0.0913182278346328,-0.11552909549921939,-0.09847985865892785,-0.0683679448649496,-0.09793432133423463,0.01762575662034005,2,-0.02140057980976107,-0.022489299781855245,-0.022017550281803997,-0.02297608323978744,-0.02324076761588005,-0.02242485614581756,0.0006616276744207296
1.4924747943878174,0.26504676795801624,0.2787166118621826,0.1937644929048154,20,sqrt,1,2,300,"{'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",-0.1152017706677017,-0.0912856552756248,-0.11590989680189745,-0.09957503546112528,-0.06839611486605636,-0.09807369461448111,0.01755329792308601,3,-0.02114912865763296,-0.02269194063924161,-0.0222356486202502,-0.022626842125279305,-0.023370035751853847,-0.022414719158851588,0.0007305153344743668
0.6719154357910156,0.030721589919891188,0.09460525512695313,0.007935262864463787,,sqrt,1,2,300,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",-0.11520177066770047,-0.09128565527562606,-0.11597757951302368,-0.09957503546112499,-0.0684266152956165,-0.09809333124261835,0.017556759212918535,4,-0.021149128657632826,-0.02269194063924158,-0.022236824554693387,-0.022626842125279226,-0.023371688207925234,-0.02241528483695445,0.0007308901244326369
2.519977855682373,0.29373771431933565,0.3481446266174316,0.09941495665404838,10,sqrt,1,2,600,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 600}",-0.11843173153866181,-0.09230110383895287,-0.11260137872451324,-0.0982400406843615,-0.0735411098959726,-0.0990230729364924,0.015850519646138646,5,-0.021497073955680287,-0.022875619248297934,-0.022733084110645736,-0.024186155551049377,-0.025184162975863993,-0.023295219168307464,0.0012717910573531955
1.5751991748809815,0.2613723091314559,0.20473222732543944,0.03717032639780516,10,sqrt,1,2,300,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",-0.11873847451845107,-0.09460010809273607,-0.11013484833777247,-0.09858994614261557,-0.07482576167749015,-0.09937782775381307,0.014945229648272692,6,-0.021150080837843324,-0.023057586216541123,-0.022846203257112,-0.024615011212835408,-0.02535326731980191,-0.023404429768826753,0.0014681608647173776
1.3162454128265382,0.16399654218559215,0.207169246673584,0.019355568114453492,10,sqrt,1,5,300,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",-0.11948144829451551,-0.0936045203645809,-0.11526992706701376,-0.10207350422864121,-0.07218973468438641,-0.10052382692782755,0.016911167691855508,7,-0.027987049465663497,-0.03006265459336787,-0.02922103360452515,-0.030519258346738583,-0.031448629063160906,-0.0298477250146912,0.0011760017971561899
1.5463014125823975,0.2522111781566548,0.18396334648132323,0.07787263892920729,20,sqrt,1,5,300,"{'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",-0.12024043283954815,-0.09508562674415283,-0.115348078248473,-0.10213135643110945,-0.07190062753396445,-0.10094122435944956,0.017082608633921328,8,-0.028195914799936116,-0.029859557128463835,-0.029124303308159065,-0.03005722920921976,-0.030625142886859455,-0.029572429466527644,0.0008392006090638581
0.76228928565979,0.0506623941688102,0.09156637191772461,0.016519353814471747,,sqrt,1,5,300,"{'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",-0.12024043283954867,-0.09508562674415177,-0.11534807824847271,-0.10213135643111002,-0.07190062753396519,-0.10094122435944967,0.017082608633921224,9,-0.028195914799936248,-0.029859557128463794,-0.02912430330815893,-0.03005722920922006,-0.03062514288685947,-0.0295724294665277,0.0008392006090638645
2.4069464683532713,0.13069149158249913,0.2597060203552246,0.04399715759566223,20,sqrt,1,5,600,"{'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 600}",-0.11938754798041816,-0.09580115836088104,-0.11573988103533707,-0.10267900063748714,-0.07142283710821802,-0.10100608502446828,0.01708813267028776,10,-0.028182818385549403,-0.029828133315019222,-0.02889071840047457,-0.0301383505188407,-0.030503497184545,-0.02950870356088578,0.0008518194843775199
